sample,work_ns,cpu_utilization
1,63601,66.83
2,58344,65.84
3,62131,63.32
4,77798,65.64
5,59389,65.17
6,59429,65.67
7,61414,65.00
8,72660,63.82
9,70697,66.00
10,74202,64.50
11,73780,65.00
12,70243,64.65
13,77897,66.00
14,74063,64.32
15,71530,65.17
16,77061,64.50
17,73867,64.32
18,70275,66.33
19,78353,64.50
20,73940,65.00
21,73169,64.68
22,71088,64.65
23,73622,66.17
24,70175,64.14
25,74143,65.17
26,70727,64.32
27,62313,65.66
28,78204,63.73
29,74210,65.50
30,80391,43.55
31,73169,61.24
32,71683,66.67
33,72212,64.32
34,73857,65.00
35,72748,64.14
36,72060,64.82
37,63411,65.33
38,77342,65.50
39,59326,65.50
40,72768,63.18
41,57248,66.67
42,67231,64.50
43,73004,65.33
44,61687,66.17
45,65849,63.82
46,57350,65.33
47,60206,65.17
48,58293,65.33
49,71785,65.00
50,72362,64.50
51,73800,64.68
52,67917,66.00
53,72188,65.67
54,75197,64.32
55,71925,65.17
56,73459,64.32
57,71941,66.00
58,73434,64.65
59,79674,64.68
60,70812,65.17
