sample,work_ns,cpu_utilization
1,72834,90.00
2,70552,89.95
3,71960,89.90
4,72126,90.40
5,75958,90.05
6,71836,90.00
7,74851,90.05
8,71720,90.36
9,81356,89.55
10,70562,90.40
11,71619,90.05
12,68389,89.95
13,71793,90.00
14,74596,90.40
15,70151,90.00
16,77384,90.05
17,74984,89.85
18,78145,88.05
19,79580,89.07
20,74811,89.95
21,73592,90.05
22,74545,89.85
23,71639,90.50
24,73137,89.95
25,70604,90.10
26,74458,89.95
27,68315,90.05
28,67395,90.00
29,73660,90.05
30,75265,89.95
31,72076,90.40
32,67684,90.05
33,75240,90.00
34,71743,90.00
35,71211,89.95
36,76161,90.05
37,86827,90.00
38,76283,89.60
39,76264,90.45
40,64373,90.05
41,73166,90.15
42,76491,90.00
43,75809,90.40
44,76138,90.00
45,79390,90.45
46,59916,90.00
47,72412,89.60
48,72629,90.00
49,70357,90.00
50,73680,90.50
51,69466,89.90
52,75599,90.45
53,93132,89.90
54,88709,89.90
55,61668,90.05
56,76026,89.60
57,75769,90.40
58,73370,89.90
59,67112,90.05
60,78162,90.00
