sample,work_ns,cpu_utilization
1,68722,0.00
2,59907,66.67
3,67251,100.00
4,66952,100.00
5,66058,100.00
6,62927,50.00
7,72982,33.33
8,62289,0.00
9,63882,0.00
10,60848,0.00
11,60949,0.00
12,76956,0.00
13,69999,0.00
14,60105,100.00
15,39973,100.00
16,68476,100.00
17,60751,66.67
18,56166,0.00
19,68173,0.00
20,63322,0.00
21,58396,0.00
22,67166,33.33
23,69994,50.00
24,69910,100.00
25,67274,100.00
26,66888,100.00
27,70211,33.33
28,61910,50.00
29,62148,0.00
30,60209,0.00
31,79837,0.00
32,66058,0.00
33,69263,33.33
34,55749,50.00
35,65546,75.00
36,45341,100.00
37,52836,100.00
38,19881,33.33
39,69275,33.33
40,61500,0.00
41,60409,0.00
42,61581,0.00
43,75654,0.00
44,68901,50.00
45,64711,100.00
46,50327,100.00
47,66149,100.00
48,59873,50.00
49,61795,0.00
50,60203,0.00
51,57374,0.00
52,58785,0.00
53,59156,0.00
54,70009,33.33
55,56444,66.67
56,66058,100.00
57,60538,100.00
58,49455,100.00
59,59586,50.00
60,60158,0.00
61,64528,0.00
62,62262,0.00
63,62729,0.00
64,78025,0.00
65,85952,0.00
66,70866,100.00
67,38918,100.00
68,67605,100.00
69,64138,50.00
70,56600,50.00
71,61000,0.00
72,61126,0.00
73,60376,0.00
74,74949,0.00
75,72832,33.33
76,50615,50.00
77,65845,75.00
78,62683,100.00
79,56346,100.00
80,42349,33.33
81,50579,50.00
82,61526,0.00
83,71054,0.00
84,69587,0.00
85,69783,0.00
86,77371,66.67
87,63933,50.00
88,72167,66.67
89,69009,100.00
90,63527,100.00
91,63023,50.00
92,60198,0.00
93,57748,0.00
94,61981,0.00
95,67015,0.00
96,68838,0.00
97,53791,66.67
98,68028,66.67
99,66020,100.00
100,63703,100.00
101,64254,50.00
102,65504,66.67
103,58557,0.00
104,55660,0.00
105,61790,0.00
106,112392,0.00
107,70300,0.00
108,52695,66.67
109,58092,50.00
110,68875,100.00
111,68237,100.00
112,61163,66.67
113,59071,0.00
114,56920,0.00
115,62819,0.00
116,67195,0.00
117,68761,50.00
118,66004,33.33
119,66308,100.00
120,38263,100.00
121,65164,66.67
122,65941,66.67
123,58018,0.00
124,60076,0.00
125,60773,0.00
126,62354,0.00
127,62245,0.00
128,65237,50.00
129,50385,66.67
130,64352,100.00
131,65125,100.00
132,42015,100.00
133,49496,50.00
134,58750,25.00
135,61619,0.00
136,62544,0.00
137,57810,0.00
138,62083,0.00
139,73762,0.00
140,70270,66.67
141,42806,100.00
142,44082,100.00
143,63458,100.00
144,75579,0.00
145,73553,0.00
146,58026,0.00
147,57286,0.00
148,63092,0.00
149,64977,50.00
150,61988,33.33
151,64280,100.00
152,64979,100.00
153,40763,100.00
154,53765,33.33
155,57262,33.33
156,63274,0.00
157,60624,0.00
158,63524,0.00
159,69893,0.00
160,65679,33.33
161,59302,75.00
162,58127,100.00
163,53323,100.00
164,58331,66.67
165,56855,0.00
166,73728,0.00
167,65004,0.00
168,59514,0.00
169,70418,0.00
170,72038,80.00
171,61500,100.00
172,57472,100.00
173,53659,66.67
174,65008,66.67
175,58537,0.00
176,61224,0.00
177,57838,0.00
178,62515,0.00
179,60338,0.00
180,71812,0.00
181,56494,66.67
182,61346,100.00
183,56838,100.00
184,57759,100.00
185,61330,0.00
186,60141,0.00
187,69673,0.00
188,60517,0.00
189,65981,0.00
190,55218,66.67
191,63197,75.00
192,67144,100.00
193,64325,100.00
194,62582,66.67
195,75711,33.33
196,64497,0.00
197,58700,0.00
198,58593,0.00
199,63799,0.00
200,69724,0.00
201,48249,50.00
202,56869,100.00
203,64454,100.00
204,61049,100.00
205,60872,33.33
206,62727,0.00
207,74216,0.00
208,59338,0.00
209,58332,0.00
210,72556,33.33
211,69252,50.00
212,70376,80.00
213,41051,100.00
214,73515,66.67
215,69016,50.00
216,66016,50.00
217,61157,33.33
218,63468,0.00
219,61401,0.00
220,56934,0.00
221,58573,50.00
222,51426,33.33
223,66500,66.67
224,59922,33.33
225,62686,50.00
226,37696,66.67
227,46115,33.33
228,56847,0.00
229,70901,0.00
230,70951,50.00
231,50860,33.33
232,45876,50.00
233,65388,100.00
234,45530,50.00
235,54646,33.33
236,58397,0.00
237,62934,0.00
238,60964,0.00
239,85104,0.00
240,58849,100.00
241,66558,100.00
242,53141,100.00
243,51804,100.00
244,60109,50.00
245,62545,0.00
246,63281,0.00
247,57887,0.00
248,57967,0.00
249,63362,0.00
250,74530,0.00
251,72300,75.00
252,34529,100.00
253,65182,100.00
254,66466,75.00
255,53514,0.00
256,131045,0.00
257,61362,0.00
258,62382,0.00
259,57931,0.00
260,71849,66.67
261,69055,50.00
262,59944,66.67
263,66818,100.00
264,53306,50.00
265,61485,33.33
266,58821,50.00
267,71158,0.00
268,61138,0.00
269,70087,33.33
270,66941,33.33
271,44213,50.00
272,62782,66.67
273,62053,66.67
274,63638,50.00
275,54924,0.00
276,61359,0.00
277,76902,0.00
278,65859,33.33
279,55657,100.00
280,64550,100.00
281,49468,100.00
282,35428,100.00
283,56971,66.67
284,54142,33.33
285,90006,0.00
286,66970,0.00
287,58350,0.00
288,57368,0.00
289,60864,0.00
290,58602,0.00
291,70451,50.00
292,49635,100.00
293,66081,100.00
294,39015,100.00
295,62354,33.33
296,56214,0.00
