sample,work_ns,cpu_utilization
1,69202,90.00
2,67108,85.71
3,70133,87.50
4,83593,62.50
5,70037,100.00
6,68753,57.14
7,64284,100.00
8,67678,62.50
9,69019,100.00
10,69712,75.00
11,72059,75.00
12,71165,88.89
13,56277,57.14
14,69321,100.00
15,65106,62.50
16,70530,100.00
17,67013,50.00
18,70102,100.00
19,69947,75.00
20,56621,87.50
21,68302,77.78
22,74749,71.43
23,71867,88.89
24,68316,66.67
25,72310,88.89
26,71042,62.50
27,68346,100.00
28,70351,75.00
29,55434,100.00
30,70388,62.50
31,58088,88.89
32,71525,71.43
33,57468,87.50
34,68353,77.78
35,70290,62.50
36,71372,100.00
37,74957,62.50
38,67710,100.00
39,67454,57.14
40,55385,100.00
41,67975,62.50
42,57296,100.00
43,73732,66.67
44,62507,71.43
45,69391,100.00
46,62668,57.14
47,69192,100.00
48,64000,57.14
49,67784,100.00
50,71637,66.67
51,67495,87.50
52,65963,77.78
53,67328,75.00
54,69694,100.00
55,71405,57.14
56,72415,90.00
57,70007,57.14
58,68253,100.00
59,67164,62.50
60,71039,100.00
61,77191,75.00
62,71505,71.43
63,70169,88.89
64,72725,62.50
65,69206,100.00
66,70260,57.14
67,66317,100.00
68,68472,71.43
69,69806,77.78
70,71416,87.50
71,57464,71.43
72,71070,88.89
73,58958,75.00
74,75303,88.89
75,68108,57.14
76,73740,100.00
77,65740,62.50
78,59833,87.50
79,72923,87.50
80,69811,71.43
81,71374,88.89
82,74282,62.50
83,72295,88.89
84,65325,66.67
85,67383,87.50
86,71608,80.00
87,54680,85.71
88,68031,75.00
89,55180,85.71
90,73491,77.78
91,56244,71.43
92,70014,88.89
93,71563,71.43
94,58790,87.50
95,70555,75.00
96,56161,87.50
97,71167,77.78
98,77530,71.43
99,73955,88.89
100,69247,57.14
101,66243,100.00
102,69271,62.50
103,73177,100.00
104,73371,71.43
105,55610,88.89
106,68168,62.50
107,56303,100.00
108,71305,62.50
109,56606,75.00
110,72675,100.00
111,73040,62.50
112,73951,100.00
113,74021,62.50
114,69255,100.00
115,72869,62.50
116,67613,100.00
117,71429,62.50
118,61204,87.50
119,75054,77.78
120,70380,71.43
121,69291,90.00
