sample,work_ns,cpu_utilization
1,68551,81.00
2,66961,79.70
3,72271,80.40
4,71504,79.90
5,72709,80.40
6,69794,79.50
7,72854,80.50
8,56487,79.40
9,74425,80.60
10,69157,79.60
11,69242,80.71
12,66938,79.50
13,70739,80.60
14,69528,79.60
15,73195,79.70
16,68538,80.40
17,69401,80.20
18,74131,79.50
19,69466,81.00
20,69813,79.00
21,73873,80.40
22,73668,79.03
23,60728,69.78
24,77343,78.65
25,73791,79.40
26,73964,78.87
27,74350,80.90
28,79376,80.00
29,71597,79.50
30,68324,79.80
31,68972,80.00
32,56764,79.90
33,71443,80.90
34,74296,80.00
35,73811,79.10
36,57644,79.90
37,74948,80.10
38,71921,80.69
39,72039,79.90
40,71885,80.40
41,69160,79.60
42,58810,79.90
43,73254,81.00
44,74361,80.10
45,71882,79.80
46,82094,80.00
47,72315,79.50
48,68711,80.40
49,76649,80.50
50,69046,80.10
51,70379,79.90
52,71769,80.10
53,71873,79.60
54,60032,80.40
55,71966,80.20
56,73340,80.10
57,72913,79.80
58,72494,80.00
59,72762,79.60
60,58426,80.50
