sample,work_ns,cpu_utilization
1,73707,76.00
2,59651,75.63
3,69243,75.00
4,73433,74.00
5,59772,75.00
6,79761,75.76
7,72512,74.63
8,60207,74.75
9,71029,75.50
10,67843,74.37
11,75967,75.76
12,71890,75.00
13,60302,74.24
14,60787,76.38
15,74687,74.13
16,71840,75.00
17,73353,74.50
18,75276,76.00
19,70283,74.13
20,73125,76.73
21,70517,74.37
22,58872,74.50
23,74381,75.12
24,76564,74.61
25,74327,71.35
26,74750,64.03
27,73973,74.49
28,62342,74.87
29,72132,75.74
30,75885,73.74
31,63891,74.75
32,75832,75.74
33,73100,74.87
34,66363,74.50
35,73468,76.12
36,74216,74.87
37,74060,76.00
38,58197,73.37
39,71183,76.12
40,72856,74.63
41,72413,74.63
42,72294,76.38
43,70335,74.87
44,60283,75.38
45,72329,75.25
46,72585,73.87
47,63168,74.75
48,68222,75.12
49,72420,75.63
50,73369,74.37
51,69783,76.50
52,72415,74.75
53,72807,73.50
54,60202,75.38
55,73124,76.00
56,68423,74.63
57,66671,74.87
58,79293,75.88
59,74247,74.50
60,59883,74.87
