sample,work_ns,cpu_utilization
1,59186,100.00
2,36368,100.00
3,36785,100.00
4,55588,0.00
5,65040,50.00
6,62981,100.00
7,37457,100.00
8,24941,100.00
9,29580,100.00
10,63700,100.00
11,43247,100.00
12,51756,66.67
13,151528,0.00
14,57556,0.00
15,58636,0.00
16,61967,0.00
17,273519,0.00
18,68526,50.00
19,62614,100.00
20,60822,100.00
21,34063,100.00
22,26361,100.00
23,38879,100.00
24,55443,100.00
25,208283,0.00
26,60133,0.00
27,150034,0.00
28,61925,0.00
29,167206,0.00
30,64704,66.67
31,41375,100.00
32,41676,100.00
33,63038,100.00
34,62641,100.00
35,298435,0.00
36,60901,0.00
37,152679,0.00
38,57205,0.00
39,66836,100.00
40,30771,100.00
41,68425,100.00
42,60164,100.00
43,60885,100.00
44,45113,100.00
45,60453,100.00
46,52788,33.33
47,60067,0.00
48,57524,0.00
49,60908,0.00
50,57153,0.00
51,302178,0.00
52,57897,100.00
53,37594,100.00
54,29556,100.00
55,58080,100.00
56,63146,100.00
57,51259,100.00
58,63460,50.00
59,137241,0.00
60,60627,0.00
61,57974,0.00
62,58577,0.00
63,69912,0.00
64,86992,100.00
65,56783,100.00
66,38284,100.00
67,30449,100.00
68,34014,100.00
69,66557,100.00
70,41169,100.00
71,159046,0.00
72,62577,0.00
73,60069,0.00
74,59374,0.00
75,58994,0.00
76,70955,50.00
77,40286,100.00
78,47484,100.00
79,62785,100.00
80,33786,100.00
81,29655,100.00
82,106221,66.67
83,61911,0.00
84,58267,0.00
85,253823,0.00
86,59268,0.00
87,73373,0.00
88,71575,100.00
89,44812,100.00
90,29376,100.00
91,28521,100.00
92,65008,100.00
93,56157,0.00
94,59917,0.00
95,66960,0.00
96,61627,0.00
97,60102,0.00
98,67083,66.67
99,33106,100.00
100,33551,100.00
101,69927,100.00
102,56373,100.00
103,30665,100.00
104,52498,100.00
105,56688,0.00
106,62797,0.00
107,171173,0.00
108,62432,0.00
109,292677,0.00
110,71337,0.00
111,69014,100.00
112,32677,100.00
113,21846,100.00
114,27252,100.00
115,66287,100.00
116,58086,100.00
117,59382,100.00
118,58192,0.00
119,130445,0.00
120,59000,0.00
121,240259,0.00
122,62134,0.00
123,70074,50.00
124,63979,100.00
125,60882,100.00
126,36850,100.00
127,23916,100.00
128,30156,100.00
129,65629,100.00
130,54809,50.00
131,153592,0.00
132,58733,0.00
133,62449,0.00
134,54636,0.00
135,69885,33.33
136,24892,100.00
137,33824,100.00
138,63152,100.00
139,62204,100.00
140,56786,50.00
141,223697,0.00
142,63564,0.00
143,65967,33.33
144,25061,100.00
145,26996,100.00
146,66859,100.00
147,57328,100.00
148,36386,100.00
149,41077,100.00
150,63693,100.00
151,139066,0.00
152,62613,0.00
153,56355,0.00
154,63449,0.00
155,142145,0.00
156,72320,0.00
157,53808,100.00
158,40006,100.00
159,31722,100.00
160,72581,100.00
161,58763,100.00
162,56613,100.00
163,37124,100.00
164,59145,0.00
165,59987,0.00
166,61530,0.00
167,54751,0.00
168,57583,0.00
169,66892,0.00
170,65867,100.00
171,48615,100.00
172,30349,100.00
173,26976,100.00
174,60362,100.00
175,65118,100.00
176,54241,66.67
177,53929,0.00
178,59499,0.00
179,56543,0.00
180,56218,0.00
181,59960,0.00
182,71904,100.00
183,38516,100.00
184,64444,100.00
185,30424,100.00
186,27728,100.00
187,45497,100.00
188,65200,100.00
189,54806,0.00
190,58223,0.00
191,58149,0.00
192,55613,0.00
193,220222,0.00
194,67774,50.00
195,41067,100.00
196,30164,100.00
197,30385,100.00
198,63926,100.00
199,49540,50.00
200,54740,0.00
201,57870,0.00
202,61806,0.00
203,68350,50.00
204,30605,100.00
205,32227,100.00
206,64429,100.00
207,45556,100.00
208,26802,100.00
209,51612,100.00
210,60255,33.33
211,237843,0.00
212,59244,0.00
213,155828,0.00
214,57279,0.00
215,66379,0.00
216,64022,100.00
217,37255,100.00
218,29390,100.00
219,41119,100.00
220,60339,100.00
221,59947,100.00
222,59862,66.67
223,58807,0.00
224,68719,0.00
225,60585,0.00
226,59776,0.00
227,60750,0.00
228,68252,100.00
229,65929,100.00
230,63049,100.00
231,68668,100.00
232,43390,100.00
233,32595,100.00
234,63174,100.00
235,55653,50.00
236,56784,0.00
237,57524,0.00
238,59150,0.00
239,136561,0.00
240,63738,0.00
241,86845,0.00
242,33616,100.00
243,32909,100.00
244,63033,100.00
245,30358,100.00
246,55453,33.33
247,258356,0.00
248,60382,0.00
249,70742,0.00
250,54614,100.00
251,34124,100.00
252,64511,100.00
253,48129,100.00
254,32190,100.00
255,54813,100.00
256,60599,100.00
257,174159,0.00
258,57929,0.00
259,197484,0.00
260,61112,0.00
261,164490,0.00
262,69634,33.33
263,33331,100.00
264,27400,100.00
265,30435,100.00
266,66329,100.00
267,47618,100.00
268,50907,100.00
269,49256,100.00
270,57666,0.00
271,214066,0.00
272,66236,0.00
273,58345,0.00
274,60374,0.00
275,67919,0.00
276,66232,100.00
277,32036,100.00
278,27629,100.00
279,28701,100.00
280,68263,100.00
281,64271,100.00
282,52524,66.67
283,187770,0.00
284,58008,0.00
285,57879,0.00
286,60448,0.00
287,60907,0.00
288,71698,100.00
289,37078,100.00
290,63695,100.00
291,29901,100.00
292,24402,100.00
293,30856,100.00
294,67298,100.00
295,58163,0.00
296,61481,0.00
297,56189,0.00
298,60867,0.00
299,58079,0.00
300,81827,0.00
301,44284,100.00
302,40366,100.00
303,63391,100.00
304,65668,100.00
305,60090,0.00
306,63881,0.00
307,147642,0.00
308,71370,33.33
309,31691,100.00
310,28663,100.00
311,64059,100.00
312,64225,100.00
313,37844,100.00
314,54576,100.00
315,50632,50.00
316,60138,0.00
317,57025,0.00
318,60789,0.00
319,60886,0.00
320,72189,50.00
321,61143,100.00
322,32138,100.00
323,26288,100.00
324,30816,100.00
325,63667,100.00
326,62348,100.00
327,43867,66.67
328,58937,0.00
329,60898,0.00
330,60519,0.00
