sample,work_ns,cpu_utilization
1,63951,62.63
2,76120,57.79
3,73769,61.31
4,62307,60.30
5,78666,58.42
6,73837,61.50
7,59212,60.30
8,59638,58.08
9,74882,61.58
10,64314,59.09
11,75070,60.30
12,59658,59.80
13,73539,59.70
14,75091,61.81
15,60448,59.20
16,70710,60.00
17,74624,61.11
18,62496,58.21
19,69703,60.10
20,62404,60.91
21,68570,57.71
22,76043,61.69
23,76179,60.61
24,64682,59.20
25,76334,59.70
26,76970,61.42
27,58727,59.00
28,76921,59.70
29,60852,60.70
30,65020,59.00
31,76204,57.07
32,60830,38.52
33,74854,32.54
34,62838,60.10
35,76668,60.70
36,60823,59.30
37,75584,58.79
38,72110,60.61
39,62667,61.11
40,62325,57.50
41,76825,61.11
42,59675,61.00
43,61628,57.58
44,72144,59.69
45,62489,59.80
46,76625,60.50
47,59584,60.00
48,70447,58.71
49,73301,61.50
50,61514,60.80
51,72977,60.70
52,61288,58.08
53,75105,60.50
54,79452,61.31
55,62764,59.30
56,75365,60.00
57,58892,60.30
58,74975,58.50
59,72374,61.31
60,74306,57.71
