sample,work_ns,cpu_utilization
1,61541,100.00
2,62766,100.00
3,74157,100.00
4,39468,100.00
5,66234,100.00
6,70602,100.00
7,39599,100.00
8,57438,0.00
9,174131,0.00
10,72720,50.00
11,65256,100.00
12,36963,100.00
13,35338,100.00
14,67100,100.00
15,146164,66.67
16,59793,0.00
17,57579,0.00
18,76810,66.67
19,68309,100.00
20,48508,100.00
21,33373,100.00
22,71855,100.00
23,56420,33.33
24,133548,0.00
25,62660,0.00
26,73474,100.00
27,50895,100.00
28,66120,100.00
29,57528,0.00
30,202540,0.00
31,62285,75.00
32,26119,100.00
33,74014,100.00
34,63222,100.00
35,46582,100.00
36,150808,66.67
37,58905,0.00
38,59996,0.00
39,80038,100.00
40,40620,100.00
41,27226,100.00
42,73694,100.00
43,68512,100.00
44,58821,33.33
45,180870,0.00
46,63437,0.00
47,67805,50.00
48,74679,100.00
49,38036,100.00
50,25680,100.00
51,75839,100.00
52,54184,50.00
53,56413,0.00
54,190907,0.00
55,67058,75.00
56,42481,100.00
57,74644,100.00
58,53500,66.67
59,54950,0.00
60,77191,50.00
61,41833,100.00
62,66198,100.00
63,50062,100.00
64,65995,100.00
65,61185,100.00
66,199857,0.00
67,62293,0.00
68,73061,50.00
69,35912,100.00
70,36263,100.00
71,66895,100.00
72,151685,100.00
73,47007,100.00
74,57740,0.00
75,183679,0.00
76,72439,33.33
77,67393,100.00
78,39231,100.00
79,27506,100.00
80,66721,100.00
81,72440,100.00
82,55992,33.33
83,61241,0.00
84,73360,0.00
85,57214,100.00
86,63673,100.00
87,35208,100.00
88,27734,100.00
89,68768,100.00
90,143773,0.00
91,61298,0.00
92,67554,33.33
93,50057,100.00
94,54701,100.00
95,58134,100.00
96,167618,50.00
97,72678,0.00
98,68743,66.67
99,36048,100.00
100,66874,100.00
101,39581,100.00
102,67692,100.00
103,58178,66.67
104,53847,0.00
105,99096,0.00
106,72855,100.00
107,37703,100.00
108,28167,100.00
109,67261,100.00
110,54259,100.00
111,181918,33.33
112,56050,0.00
113,54583,0.00
114,82481,100.00
115,69489,100.00
116,31932,100.00
117,24871,100.00
118,67776,100.00
119,60001,50.00
120,225046,0.00
121,60617,0.00
122,67732,50.00
123,44009,100.00
124,67265,100.00
125,27403,100.00
126,159106,0.00
127,68051,50.00
128,32031,100.00
129,75628,100.00
130,46326,100.00
131,39380,100.00
132,75819,100.00
133,60244,33.33
134,61450,0.00
135,149675,0.00
136,70354,75.00
137,31999,100.00
138,78262,100.00
139,77182,100.00
140,46921,100.00
141,146956,33.33
142,55333,0.00
143,71083,25.00
144,77404,100.00
145,35617,100.00
146,30194,100.00
147,100037,100.00
148,46839,100.00
149,59478,33.33
150,207526,0.00
151,57474,0.00
152,66145,100.00
153,73989,100.00
154,43560,100.00
155,27669,100.00
156,74936,100.00
157,71879,25.00
158,63771,0.00
159,75416,50.00
160,48656,100.00
161,40078,100.00
162,70489,100.00
163,62459,33.33
164,59357,0.00
165,76168,66.67
