sample,work_ns,cpu_utilization
1,67793,50.00
2,67780,100.00
3,40854,100.00
4,57218,75.00
5,58975,0.00
6,58339,0.00
7,60391,0.00
8,71251,50.00
9,46199,100.00
10,63900,100.00
11,60067,0.00
12,59238,0.00
13,69913,40.00
14,38490,100.00
15,65899,100.00
16,51923,100.00
17,56021,0.00
18,59811,0.00
19,61257,0.00
20,67476,20.00
21,64140,100.00
22,37312,100.00
23,68245,100.00
24,57501,25.00
25,58353,0.00
26,58969,0.00
27,67156,0.00
28,68194,75.00
29,62306,100.00
30,35463,100.00
31,60283,80.00
32,58153,0.00
33,55344,0.00
34,59502,0.00
35,58179,0.00
36,71760,100.00
37,66840,100.00
38,58380,75.00
39,60175,0.00
40,57691,0.00
41,70139,0.00
42,68913,80.00
43,51665,100.00
44,68026,100.00
45,62241,25.00
46,76198,0.00
47,57661,0.00
48,69829,25.00
49,39192,100.00
50,66938,100.00
51,66049,100.00
52,62681,0.00
53,60674,0.00
54,59811,0.00
55,56634,0.00
56,69586,80.00
57,37004,100.00
58,63886,100.00
59,57578,66.67
60,60742,0.00
61,62038,0.00
62,60677,0.00
63,67479,20.00
64,69647,100.00
65,37522,100.00
66,71068,100.00
67,60977,25.00
68,64243,0.00
69,57411,0.00
70,61529,0.00
71,75087,80.00
72,69297,100.00
73,61466,50.00
74,62169,0.00
75,58536,0.00
76,69137,75.00
77,69565,100.00
78,63964,100.00
79,55907,100.00
80,58043,0.00
81,61293,0.00
82,69807,0.00
83,60027,0.00
84,68711,66.67
85,36163,100.00
86,67657,100.00
87,58107,66.67
88,62369,0.00
89,59733,0.00
90,59131,0.00
91,74963,60.00
92,70608,100.00
93,39375,100.00
94,68222,100.00
95,58979,0.00
96,73491,0.00
97,60986,0.00
98,65432,0.00
99,70039,80.00
100,67814,100.00
101,39813,100.00
102,57425,25.00
103,57220,0.00
104,60586,0.00
105,70887,0.00
106,65786,100.00
107,49561,100.00
108,56162,100.00
109,66336,0.00
110,57182,0.00
111,59662,0.00
112,68800,60.00
113,56136,100.00
114,66275,100.00
115,55783,75.00
116,59245,0.00
117,56829,0.00
118,56681,0.00
119,71079,40.00
120,62953,100.00
121,40678,100.00
122,69092,100.00
123,59585,25.00
124,57539,0.00
125,58375,0.00
126,58881,0.00
127,73211,66.67
128,67058,100.00
129,42661,100.00
130,63619,75.00
131,68076,0.00
132,56653,0.00
133,59169,0.00
134,65924,0.00
135,60193,100.00
136,65467,100.00
137,60427,0.00
138,66778,0.00
139,68360,50.00
140,52983,100.00
141,66141,100.00
142,66316,100.00
143,65783,25.00
144,59500,0.00
145,61107,0.00
146,57968,0.00
147,69332,60.00
148,39391,100.00
149,64829,100.00
150,60468,100.00
151,61534,0.00
152,58166,0.00
153,58196,0.00
154,61304,0.00
155,72362,80.00
156,38453,100.00
157,82163,100.00
158,58348,75.00
159,59115,0.00
160,60212,0.00
161,58948,0.00
162,70013,40.00
163,67397,100.00
164,63199,100.00
165,67038,100.00
166,61292,25.00
167,58803,0.00
168,60148,0.00
169,58295,0.00
170,68658,60.00
171,50419,100.00
172,57324,66.67
173,59430,0.00
174,60598,0.00
175,68252,60.00
176,50744,100.00
177,67531,100.00
178,53322,80.00
179,66586,0.00
180,57929,0.00
181,60639,0.00
182,69153,0.00
183,65774,100.00
184,45216,100.00
185,69351,100.00
186,57837,40.00
187,57693,0.00
188,58912,0.00
189,68028,0.00
190,68779,50.00
191,68520,100.00
192,44143,100.00
193,65952,100.00
194,60076,0.00
195,58098,0.00
196,60956,0.00
197,62588,0.00
198,70072,75.00
199,69750,100.00
200,62058,60.00
201,59940,0.00
202,59617,0.00
203,70502,80.00
204,69078,100.00
205,60402,100.00
206,59774,75.00
207,67188,0.00
208,57432,0.00
209,60644,0.00
210,57980,0.00
211,68019,100.00
212,43705,100.00
213,64401,100.00
214,59177,75.00
215,56614,0.00
216,56748,0.00
217,56685,0.00
218,61369,0.00
219,71328,100.00
220,34616,100.00
221,65115,100.00
222,72144,25.00
223,56693,0.00
224,57879,0.00
225,57597,0.00
226,75645,50.00
227,72343,100.00
228,39623,100.00
229,57439,100.00
230,57686,0.00
231,58188,0.00
232,56890,0.00
233,68734,0.00
234,61083,100.00
235,68794,100.00
236,60303,0.00
237,59982,0.00
238,70121,20.00
239,41687,100.00
240,65792,100.00
241,65046,100.00
242,58971,25.00
243,59112,0.00
244,58979,0.00
245,60763,0.00
246,44276,80.00
