sample,work_ns,cpu_utilization
1,94611,71.43
2,93844,0.00
3,81103,52.63
4,106164,9.52
5,81453,60.00
6,107998,4.76
7,83404,52.63
8,98324,19.05
9,90036,26.32
10,154208,45.45
11,101702,4.76
12,92117,65.00
13,97285,4.76
14,88256,47.37
15,71859,15.00
16,83489,59.09
17,90776,0.00
18,90931,61.90
19,90810,4.76
20,77368,73.68
21,94729,4.76
22,85302,31.58
23,89988,28.57
24,83167,31.58
25,87280,23.81
26,86150,42.11
27,88125,28.57
28,86422,20.00
29,93150,50.00
30,88469,0.00
31,96712,70.00
32,87863,4.76
33,91021,40.00
34,92624,31.58
35,88557,40.00
36,96906,4.76
37,82909,70.00
38,90711,4.76
39,82153,60.00
40,99418,0.00
41,85312,50.00
42,88377,23.81
43,85836,21.05
44,94181,27.27
45,71868,65.00
46,89111,4.76
47,90259,45.00
48,64260,20.00
49,89191,15.79
50,82838,52.38
51,98818,4.76
52,86936,50.00
53,89152,35.00
54,96633,35.00
55,71681,0.00
56,87061,71.43
57,87893,0.00
58,74472,70.00
59,100798,0.00
60,84043,40.00
61,91906,28.57
62,83297,15.00
63,87808,38.10
64,83006,55.00
65,87077,10.00
66,90543,35.00
67,90191,35.00
68,72433,10.00
69,92170,61.90
70,93529,4.76
71,91001,42.11
72,91326,25.00
73,92786,47.62
74,89880,0.00
75,90694,71.43
76,87038,4.76
77,86127,52.63
78,87243,15.00
79,89182,25.00
80,92375,42.86
81,83856,10.00
82,96502,35.00
83,89818,52.63
84,95112,22.73
85,81124,30.00
86,86314,38.10
87,88761,10.53
88,83683,57.14
89,96078,0.00
90,86182,57.14
91,94005,0.00
92,90273,61.90
93,91110,0.00
94,87850,63.16
95,93810,4.76
96,79441,70.00
97,92432,0.00
98,85132,55.00
99,93975,14.29
100,4084297,38.10
101,92152,14.29
102,100431,68.42
103,100077,5.00
104,86927,42.11
105,89073,22.73
106,85934,30.00
107,88882,42.11
108,92162,4.76
109,86790,60.00
110,87849,4.76
111,87573,57.14
112,70890,5.26
113,92835,55.00
114,88257,4.76
115,101666,65.00
116,87212,4.76
117,79769,68.42
118,93519,0.00
119,60618,40.00
120,69092,10.00
121,90474,61.90
122,90940,4.76
123,86704,70.00
124,94825,0.00
125,87793,45.00
126,91371,28.57
127,91285,20.00
128,99438,50.00
129,94089,0.00
130,84775,47.62
131,83317,40.00
132,94913,25.00
133,84052,20.00
134,91813,47.62
135,93255,0.00
136,87312,68.18
137,90712,0.00
138,90824,42.11
139,89298,30.00
140,152303,42.86
141,99640,4.76
142,83339,71.43
143,95323,0.00
144,94788,55.00
145,84802,15.00
146,85682,30.00
147,90574,38.10
148,96165,10.00
149,83887,35.00
150,82571,60.00
151,110455,9.52
152,88179,40.00
153,99967,30.00
154,71038,10.53
155,89649,63.64
156,88972,0.00
157,82558,42.86
158,96086,25.00
159,95868,50.00
160,89188,0.00
161,94151,66.67
162,89571,4.76
163,82187,57.89
164,92153,19.05
165,83880,20.00
166,86527,47.62
167,71738,0.00
168,86686,42.86
169,86496,52.63
170,89650,18.18
171,87421,35.00
172,95073,35.00
173,74697,5.00
174,93052,70.00
175,95998,4.76
176,87802,57.14
177,107571,0.00
178,87221,63.64
179,85948,0.00
180,95092,68.42
181,88177,4.76
182,95025,47.62
183,90654,25.00
184,86691,10.53
185,94111,52.38
186,119021,0.00
187,99625,47.62
188,83999,42.11
189,95561,28.57
190,70485,10.00
191,97303,55.00
192,91414,4.76
193,89953,71.43
194,90324,0.00
195,59929,60.00
196,100814,0.00
197,92055,61.90
198,93275,4.76
199,76332,65.00
200,88318,4.76
201,84229,45.00
202,83637,28.57
203,84793,10.53
204,86306,57.14
205,89219,0.00
206,85142,45.00
207,87961,35.00
208,93048,38.10
209,89557,0.00
210,86977,75.00
211,93978,0.00
212,85872,60.00
213,91224,9.52
214,84131,36.84
215,95983,33.33
216,72207,5.26
217,92014,40.91
218,87342,57.89
219,91413,13.64
220,89403,42.11
221,93505,20.00
222,86973,26.32
223,99462,42.86
224,83349,4.76
225,84527,42.86
226,83483,63.16
227,101677,9.52
228,71439,31.58
229,90774,40.91
230,69477,0.00
231,87864,70.00
232,83659,4.76
233,86496,66.67
234,92313,0.00
235,91434,42.11
236,127298,5.00
237,91439,66.67
238,103173,4.76
239,58188,65.00
240,83334,5.00
241,81272,40.00
242,92577,33.33
243,71515,4.76
244,93416,38.89
245,84882,57.14
246,90876,19.05
247,70480,15.79
248,181501,50.00
249,96247,4.76
250,92336,71.43
251,97002,0.00
252,91243,57.89
253,90856,13.64
254,87016,40.00
255,91128,5.00
256,91465,65.00
257,96841,0.00
258,80970,70.00
259,91361,4.76
260,84694,45.00
261,90620,30.00
262,75702,4.76
263,89109,55.00
264,72878,10.00
265,85387,55.00
266,72391,4.76
267,90801,63.16
268,93045,4.76
269,84202,71.43
270,92791,0.00
271,87060,52.38
272,92274,15.00
273,84028,30.00
274,89410,20.00
275,80127,70.00
276,86096,4.76
277,85499,35.00
278,106567,33.33
279,89179,20.00
280,86931,52.38
281,89126,0.00
282,98828,61.90
283,89699,0.00
284,83401,57.89
285,86637,0.00
286,102991,68.18
287,92426,0.00
288,63942,68.42
289,82631,9.09
290,84139,36.84
291,93436,30.00
292,71301,10.00
293,124434,35.00
294,83800,60.00
295,88602,10.00
296,86669,30.00
297,83935,40.00
298,90029,4.76
299,90104,65.00
300,92036,0.00
301,80342,70.00
302,86202,4.76
303,79980,45.00
304,88099,0.00
305,85010,71.43
306,86451,0.00
307,83523,66.67
308,92582,0.00
309,82333,45.00
310,89946,28.57
311,85522,15.79
312,93614,28.57
313,80149,65.00
314,86765,4.76
315,90164,47.37
316,95735,28.57
317,83685,10.53
318,89553,52.38
319,88055,4.76
320,89188,70.00
321,88593,4.76
322,84763,47.62
323,68351,5.26
324,97573,57.14
325,88638,4.76
326,88724,71.43
327,86982,0.00
328,90697,60.00
329,86477,15.00
330,72012,19.05
331,92692,26.32
332,86042,70.00
333,89000,4.76
334,83966,26.32
335,86666,42.86
336,88485,5.00
337,87876,66.67
338,89458,0.00
339,87787,65.00
340,100853,0.00
341,84757,45.00
342,73682,9.52
343,60980,60.00
344,88247,0.00
345,138276,66.67
346,87065,4.76
347,83865,63.16
348,87645,10.00
349,89109,21.05
350,97525,30.00
351,84636,40.00
352,86181,27.27
353,88687,31.58
354,84977,38.10
355,88802,5.26
356,87934,61.90
357,92221,4.76
358,89077,65.00
359,94410,4.76
360,86266,47.37
361,91066,0.00
362,82793,70.00
363,87957,4.76
364,84963,57.89
365,85311,13.64
366,84660,42.11
367,98401,28.57
368,72126,5.26
369,85558,52.38
370,85760,10.53
371,102469,50.00
372,73420,20.00
373,86637,45.00
374,89886,0.00
375,96318,70.00
376,95571,0.00
377,81579,70.00
378,99865,4.76
379,81594,40.00
380,98934,4.76
381,89934,75.00
382,87634,4.76
383,84025,60.00
384,98839,10.00
385,84894,25.00
386,88256,42.86
387,70400,5.00
388,91876,65.00
389,134110,4.76
390,87111,45.00
391,84125,15.79
392,85147,50.00
393,91186,0.00
394,85720,66.67
395,91248,0.00
396,85055,70.00
397,87292,4.76
398,80521,45.00
399,92054,0.00
400,94907,71.43
401,91343,0.00
402,83963,65.00
403,86216,9.52
404,85093,25.00
405,89605,47.62
406,89836,4.76
407,89480,70.00
408,94266,0.00
409,83436,42.11
410,85993,20.00
411,91412,50.00
412,75787,9.09
413,87160,66.67
414,92220,4.76
415,86558,70.00
416,90064,4.76
417,87734,30.00
418,91411,15.00
419,97215,73.68
420,95787,4.76
421,102359,45.00
422,85851,28.57
423,87866,14.29
424,97283,57.89
425,88138,0.00
426,84303,66.67
427,99686,4.76
428,109860,47.37
429,72681,9.09
430,83152,63.16
431,91585,0.00
432,85252,68.18
433,96542,0.00
434,85930,57.89
435,207120,19.05
436,75462,10.53
437,79441,100.00
438,68708,23.08
439,100449,0.00
440,101653,4.76
441,68399,0.00
442,89281,50.00
443,129395,30.00
444,137737,0.00
445,88272,47.06
446,232654,30.00
447,191862,4.76
448,90199,63.16
449,104101,0.00
450,81271,61.90
451,110505,4.76
452,86049,45.00
453,83254,5.26
454,97376,61.90
455,88970,0.00
456,87019,61.90
457,89710,0.00
458,91889,70.00
459,104907,4.76
460,86201,40.00
461,105144,20.00
462,84339,42.11
463,94556,22.73
464,85867,50.00
465,83774,20.00
466,85096,20.00
467,90908,47.62
468,100171,0.00
469,82743,71.43
470,85930,0.00
471,86525,45.00
472,84044,15.00
473,97777,59.09
474,98946,0.00
475,86454,70.00
476,94601,4.76
477,83060,42.11
478,90960,28.57
479,85431,15.79
480,94159,52.38
481,87641,0.00
482,92592,47.62
483,90335,31.58
484,87303,35.00
485,88869,10.00
486,128956,61.90
487,88596,0.00
488,83219,66.67
489,95463,0.00
490,87903,45.00
491,88857,10.00
492,109518,61.90
493,95866,4.76
494,87751,71.43
495,94237,0.00
496,82112,36.84
497,89173,36.36
498,83330,5.26
499,88389,61.90
500,100369,4.76
501,91419,45.00
502,84567,30.00
503,92588,38.10
504,83471,5.26
505,59026,61.90
506,89771,0.00
507,94751,75.00
508,100744,0.00
509,72075,38.10
510,93557,5.00
511,97870,75.00
512,97225,0.00
513,90417,55.00
514,94264,14.29
515,83771,30.00
516,107267,40.00
517,94091,4.76
518,97725,66.67
519,102633,0.00
520,88999,47.62
521,85494,20.00
522,93918,47.62
523,73233,9.09
524,86241,66.67
525,88873,0.00
526,80936,73.68
527,94075,9.09
528,93495,30.00
529,91796,21.05
530,88635,47.62
531,111236,19.05
532,85207,40.00
533,93225,28.57
534,84482,21.05
535,87363,50.00
536,88650,0.00
537,91826,71.43
538,94196,0.00
539,82933,47.62
540,91812,4.76
541,62851,70.00
542,88457,0.00
543,86700,55.00
544,103965,10.00
545,84220,35.00
546,91116,40.91
547,71020,4.76
548,86125,57.89
549,88166,0.00
550,87650,54.55
551,84266,15.79
552,85277,47.62
553,92941,0.00
554,83580,65.00
555,95832,4.76
556,83006,66.67
557,88960,4.76
558,89110,40.00
559,84901,21.05
560,87692,42.86
561,89087,0.00
562,102932,75.00
563,88143,0.00
564,82275,61.90
565,90722,5.00
566,82352,42.11
567,89764,28.57
568,86708,10.53
569,100913,33.33
570,80771,63.16
571,95425,9.09
572,91082,45.00
573,90028,23.81
574,92467,21.05
575,91893,47.62
576,90044,4.76
577,90746,42.86
578,85146,47.37
579,87270,20.00
580,71289,20.00
581,86241,52.38
582,88484,4.76
583,88011,68.42
584,88887,0.00
585,86511,52.38
586,89068,19.05
587,83882,27.78
588,92741,15.00
589,82961,66.67
590,95953,4.76
591,88412,55.00
592,105237,10.53
593,92311,25.00
594,88210,52.38
595,101719,0.00
596,85232,45.45
597,82956,31.58
598,145807,38.10
599,102979,0.00
600,92244,68.18
