sample,work_ns,cpu_utilization
1,70361,71.50
2,75787,71.36
3,74215,68.18
4,67397,70.30
5,65783,70.50
6,59999,70.50
7,75452,70.79
8,70360,69.50
9,74431,70.30
10,69627,69.65
11,76721,71.50
12,73266,70.94
13,68884,68.69
14,63122,69.19
15,59909,70.35
16,70032,70.20
17,72260,69.00
18,75383,70.50
19,72700,70.41
20,73498,69.50
21,70194,70.30
22,61302,70.15
23,60379,70.65
24,73926,70.85
25,70880,68.84
26,70008,68.84
27,60190,70.49
28,73565,38.14
29,80463,44.04
30,74648,66.11
31,74051,69.70
32,76250,69.15
33,60341,71.21
34,73964,68.18
35,63657,71.50
36,78695,70.50
37,78599,69.19
38,71817,69.00
39,76219,70.15
40,59786,70.71
41,63868,70.00
42,71633,69.85
43,77695,69.31
44,68857,70.20
45,58374,71.86
46,72584,69.00
47,73793,70.35
48,73779,69.00
49,63624,71.00
50,70542,69.50
51,77326,71.00
52,70553,69.00
53,73026,70.20
54,58928,70.44
55,61795,70.65
56,74799,70.79
57,61238,69.50
58,70380,70.35
59,74237,69.31
60,72078,70.05
