sample,work_ns,cpu_utilization
1,72824,61.90
2,60502,5.26
3,60544,0.00
4,77154,28.57
5,59508,42.11
6,63070,0.00
7,60913,0.00
8,69049,45.00
9,64091,0.00
10,75056,47.62
11,58414,21.05
12,61996,0.00
13,71995,0.00
14,65938,71.43
15,69447,0.00
16,62934,0.00
17,73247,52.38
18,61860,15.79
19,64284,0.00
20,71519,0.00
21,75044,66.67
22,61703,0.00
23,84423,0.00
24,62490,47.37
25,63916,0.00
26,71245,42.86
27,69637,21.05
28,66472,0.00
29,72380,23.81
30,58677,36.84
31,64509,0.00
32,72649,13.64
33,59609,57.89
34,63637,0.00
35,77329,0.00
36,60114,52.63
37,63221,0.00
38,77595,23.81
39,59760,25.00
40,60877,0.00
41,60384,52.63
42,61411,0.00
43,73470,23.81
44,60210,36.84
45,62500,0.00
46,72114,15.00
47,62669,40.00
48,71418,0.00
49,77035,31.58
50,58957,4.76
51,69789,63.16
52,91764,0.00
53,62690,0.00
54,77684,52.38
55,59924,10.53
56,63155,0.00
57,71580,40.91
58,61930,27.78
59,58829,0.00
60,69840,0.00
61,63569,57.14
62,61079,0.00
63,76332,10.00
64,61346,45.00
65,66408,0.00
66,76390,27.27
67,67323,38.89
68,61891,0.00
69,59687,0.00
70,61487,70.00
71,62758,0.00
72,70398,0.00
73,77932,52.38
74,70014,10.53
75,60546,0.00
76,73883,14.29
77,61213,31.58
78,61977,0.00
79,73269,70.00
80,59347,0.00
81,64834,0.00
82,75748,40.00
83,62561,30.00
84,61201,0.00
85,61010,0.00
86,61040,68.42
87,61546,0.00
88,64258,0.00
89,71796,52.38
90,60756,15.79
91,66168,0.00
92,70487,13.64
93,61681,33.33
94,63331,0.00
95,60630,65.00
96,60719,0.00
97,61302,0.00
98,72761,61.90
99,61270,0.00
100,61413,0.00
101,72116,42.86
102,60188,21.05
103,61205,0.00
104,77037,19.05
105,58550,21.05
106,72633,19.05
107,62173,47.37
108,59860,0.00
109,66435,0.00
110,60515,68.42
111,63955,0.00
112,62092,0.00
113,78545,52.38
114,62566,15.79
115,61061,0.00
116,61403,0.00
117,58453,66.67
118,75044,0.00
119,59026,0.00
120,60476,45.00
121,62381,0.00
122,75790,42.86
123,61896,21.05
124,59873,0.00
125,71843,18.18
126,59916,52.63
127,61726,0.00
128,64724,0.00
129,60428,70.00
130,61325,0.00
131,60924,0.00
132,80942,30.00
133,69117,10.00
134,75190,28.57
135,63449,44.44
136,61984,0.00
137,61247,0.00
138,78388,63.64
139,62627,0.00
140,61936,0.00
141,76100,20.00
142,68328,52.63
143,59053,0.00
144,63902,0.00
145,71234,38.10
146,63001,26.32
147,62233,0.00
148,76729,15.00
149,63056,30.00
150,74970,0.00
151,62893,63.16
152,60547,0.00
153,59684,0.00
154,60814,61.90
155,66712,0.00
156,63678,0.00
157,73562,61.90
158,59992,5.26
159,61055,0.00
160,74718,23.81
161,63317,26.32
162,60794,0.00
163,59217,50.00
164,61235,0.00
165,74612,23.81
166,56996,36.84
167,62103,0.00
168,75281,23.81
169,64586,36.84
170,62203,0.00
171,76747,28.57
172,61542,26.32
173,62920,0.00
174,60004,35.00
175,61745,0.00
176,66911,65.00
177,59125,0.00
178,63405,0.00
179,72571,52.38
180,63654,15.00
181,62585,0.00
182,73064,25.00
183,62103,42.11
184,61382,0.00
185,62748,0.00
186,61949,60.00
187,59136,0.00
188,71794,0.00
189,81736,55.00
190,65169,0.00
191,75631,0.00
192,56633,61.90
193,61386,0.00
194,61280,0.00
195,63877,65.00
196,59522,0.00
197,60902,0.00
198,61012,65.00
199,63983,0.00
200,63307,0.00
201,58264,36.84
202,59444,0.00
203,72569,54.55
204,60858,10.53
205,76341,0.00
206,70407,19.05
207,61571,52.63
208,101774,0.00
209,59973,0.00
210,62558,65.00
211,60608,0.00
212,61966,0.00
213,71965,50.00
214,64470,15.79
215,61845,0.00
216,70034,18.18
217,64817,27.78
218,63014,0.00
219,62939,65.00
220,70375,0.00
221,63076,0.00
222,67898,61.90
223,72970,0.00
224,61440,0.00
225,73321,42.86
226,72227,25.00
227,60847,0.00
228,73327,0.00
229,62382,40.00
230,62143,0.00
231,74211,65.00
232,66899,0.00
233,60461,0.00
234,72785,61.90
235,64239,5.26
236,63494,0.00
237,76575,20.00
238,63719,47.37
239,60070,0.00
240,60261,0.00
241,61278,66.67
242,61157,0.00
243,64502,0.00
244,64013,45.00
245,61390,0.00
246,70873,14.29
247,59812,57.89
248,60944,0.00
249,76334,0.00
250,60639,70.00
251,62111,0.00
252,61185,0.00
253,77953,25.00
254,62731,47.37
255,68278,0.00
256,60762,0.00
257,61019,42.86
258,60517,0.00
259,78072,45.00
260,61781,26.32
261,65673,0.00
262,60858,0.00
263,65364,66.67
264,59790,0.00
265,62171,0.00
266,74038,55.00
267,59699,15.79
268,61206,0.00
269,65641,0.00
270,60788,61.90
271,62707,0.00
272,64740,0.00
273,60806,42.11
274,61702,0.00
275,78925,57.14
276,61784,5.26
277,74459,0.00
278,75833,35.00
279,56803,30.00
280,63624,0.00
281,74140,19.05
282,63215,47.37
283,71087,0.00
284,60341,0.00
285,61611,52.63
286,62487,0.00
287,75740,33.33
288,60951,15.00
289,62251,0.00
290,56519,57.89
291,77072,0.00
292,69532,4.76
293,57586,60.00
294,58740,0.00
295,59617,0.00
296,58820,57.14
297,61847,0.00
298,59636,0.00
299,62869,45.00
300,60003,0.00
301,60488,66.67
302,63835,0.00
303,61683,0.00
304,72270,50.00
305,61194,10.53
306,64748,0.00
307,75468,38.10
308,63429,35.00
309,64736,0.00
310,63289,0.00
311,59156,57.89
312,64230,0.00
313,60974,0.00
314,60938,57.14
315,61581,0.00
316,64127,0.00
317,61656,68.18
318,68506,0.00
319,65666,0.00
320,69942,55.00
321,60166,10.53
322,60888,0.00
323,72539,19.05
324,59287,52.63
325,71379,0.00
326,60069,0.00
327,61076,45.00
328,76809,0.00
329,74262,57.14
330,59597,5.56
331,74973,0.00
332,84113,18.18
333,58462,52.63
334,63258,0.00
335,57519,0.00
336,59210,70.00
337,63591,0.00
338,70470,0.00
339,75513,30.00
340,60572,40.00
341,62589,0.00
342,61394,0.00
343,57506,42.11
344,63145,0.00
345,74427,63.64
346,73818,0.00
347,62421,0.00
348,73836,33.33
