sample,work_ns,cpu_utilization
1,68385,75.00
2,59682,55.56
3,56118,0.00
4,68153,25.00
5,70674,100.00
6,60057,0.00
7,71691,14.29
8,76471,88.89
9,55982,25.00
10,67466,12.50
11,67306,62.50
12,54780,62.50
13,57879,0.00
14,67256,28.57
15,66607,100.00
16,56433,22.22
17,56624,0.00
18,71774,62.50
19,55270,77.78
20,76113,0.00
21,69552,14.29
22,67554,100.00
23,60255,11.11
24,73493,0.00
25,68193,100.00
26,58418,33.33
27,60597,0.00
28,70304,62.50
29,59721,85.71
30,58590,0.00
31,72412,12.50
32,67487,87.50
33,57141,50.00
34,60059,0.00
35,70482,25.00
36,55201,100.00
37,62155,0.00
38,74915,25.00
39,66389,100.00
40,59529,0.00
41,71599,25.00
42,70866,87.50
43,60253,33.33
44,59808,0.00
45,71256,57.14
46,55655,87.50
47,57439,11.11
48,56568,0.00
49,70710,75.00
50,58246,75.00
51,61124,0.00
52,70033,0.00
53,69106,88.89
54,58170,28.57
55,67521,0.00
56,67892,66.67
57,57644,50.00
58,63024,0.00
59,69007,75.00
60,59378,75.00
61,60044,0.00
62,66558,0.00
63,67065,77.78
64,53146,62.50
65,58479,0.00
66,71095,25.00
67,70066,100.00
68,59063,0.00
69,71045,25.00
70,70087,85.71
71,57505,22.22
72,67078,12.50
73,65355,87.50
74,60390,50.00
75,58931,0.00
76,72366,28.57
77,72429,100.00
78,60057,22.22
79,60121,0.00
80,66699,50.00
81,69394,100.00
82,60651,11.11
83,60336,0.00
84,68284,85.71
85,55966,44.44
86,59986,0.00
87,70779,75.00
88,67914,50.00
89,57345,0.00
90,70421,62.50
91,66904,87.50
92,55270,0.00
93,67748,11.11
94,70098,85.71
95,59308,62.50
96,59337,0.00
97,72622,25.00
98,70507,88.89
99,61033,0.00
100,77004,25.00
101,73163,87.50
102,61757,12.50
103,72901,22.22
104,68773,85.71
105,57001,50.00
106,57952,0.00
107,70087,37.50
108,68767,100.00
109,60717,12.50
110,69446,0.00
111,69278,50.00
112,88114,88.89
113,56842,0.00
114,59440,0.00
115,69403,88.89
116,63033,37.50
117,67926,0.00
118,69350,75.00
119,60533,37.50
120,61486,0.00
121,68443,85.71
122,56243,66.67
123,58664,0.00
124,74618,11.11
125,70074,87.50
126,60300,57.14
127,61772,0.00
128,74314,22.22
129,70480,100.00
130,60222,25.00
131,62391,0.00
132,72224,57.14
133,59598,77.78
134,61526,0.00
135,73900,14.29
136,73141,100.00
137,67965,33.33
138,62349,0.00
139,75972,50.00
140,58184,100.00
141,60840,11.11
142,61528,0.00
143,71846,71.43
144,56300,75.00
145,57186,0.00
146,71111,12.50
147,71686,100.00
148,58392,12.50
149,66396,12.50
150,71206,87.50
151,60211,33.33
152,60339,0.00
153,69192,71.43
154,55737,87.50
155,60890,0.00
