sample,work_ns,cpu_utilization
1,56561,100.00
2,53321,100.00
3,65158,100.00
4,39369,100.00
5,66095,100.00
6,66468,100.00
7,51051,80.00
8,54894,100.00
9,66313,100.00
10,40039,100.00
11,68934,100.00
12,66146,100.00
13,38511,100.00
14,62358,100.00
15,68268,100.00
16,55793,75.00
17,65292,100.00
18,64053,100.00
19,45034,100.00
20,67217,100.00
21,68551,100.00
22,51068,100.00
23,66108,100.00
24,65930,100.00
25,41722,100.00
26,65003,66.67
27,70125,100.00
28,39660,100.00
29,65626,100.00
30,67925,100.00
31,44813,75.00
32,63060,100.00
33,64984,100.00
34,34550,100.00
35,71281,100.00
36,69003,100.00
37,39955,100.00
38,66058,100.00
39,69815,100.00
40,57111,75.00
41,65028,100.00
42,68119,100.00
43,41457,100.00
44,68512,100.00
45,68864,100.00
46,75789,100.00
47,47788,100.00
48,70589,100.00
49,65642,100.00
50,62664,66.67
51,70649,100.00
52,65398,100.00
53,38797,100.00
54,72011,100.00
55,64405,66.67
56,56951,100.00
57,67478,100.00
58,64765,100.00
59,52731,100.00
60,69931,100.00
61,61726,100.00
62,34971,100.00
63,68370,100.00
64,67642,100.00
65,41771,75.00
66,59537,100.00
67,61296,100.00
68,40988,100.00
69,66835,100.00
70,63711,100.00
71,40126,100.00
72,60643,100.00
73,66454,75.00
74,53891,100.00
75,63490,100.00
76,62326,100.00
77,25615,100.00
78,65692,100.00
79,65187,100.00
80,38405,100.00
81,61745,100.00
82,64437,75.00
83,42375,100.00
84,58630,100.00
85,64457,100.00
86,41256,100.00
87,60515,100.00
88,67787,100.00
89,38752,75.00
90,65917,100.00
91,66356,100.00
92,47357,100.00
93,70769,100.00
94,64485,100.00
95,29928,100.00
96,70386,100.00
97,53519,66.67
98,43427,100.00
99,62296,100.00
100,61193,100.00
101,26847,100.00
102,66901,100.00
103,60401,100.00
104,42644,100.00
105,65571,100.00
106,60969,75.00
107,36188,100.00
108,63531,100.00
109,63635,100.00
110,39301,100.00
111,64081,100.00
112,65035,75.00
113,33958,100.00
114,64684,100.00
115,63397,100.00
116,52055,100.00
117,60603,100.00
118,66881,100.00
119,34823,100.00
120,64953,100.00
121,63227,75.00
122,42920,100.00
123,63511,100.00
124,50978,100.00
125,39764,100.00
126,62504,100.00
127,64161,100.00
128,43034,100.00
129,59231,100.00
130,71943,100.00
131,36273,50.00
132,49376,100.00
133,64048,100.00
134,43452,100.00
