sample,work_ns,cpu_utilization
1,65094,90.00
2,70432,89.47
3,65330,80.00
4,72663,85.71
5,72453,80.00
6,70330,89.47
7,70823,83.33
8,69670,90.00
9,69145,80.95
10,68736,89.47
11,57813,80.95
12,68520,90.00
13,65564,80.00
14,66977,90.00
15,73387,85.00
16,68543,85.00
17,57189,85.00
18,70235,85.00
19,66004,80.00
20,68465,90.48
21,59373,84.21
22,66345,85.00
23,55818,85.00
24,70004,84.21
25,56803,80.95
26,71585,90.00
27,68532,84.21
28,70154,80.95
29,71212,89.47
30,69952,81.82
31,60765,89.47
32,67313,84.21
33,72576,85.71
34,78407,80.00
35,68093,90.48
36,53472,80.00
37,68112,89.47
38,73622,80.00
39,66977,90.00
40,69650,89.47
41,71027,80.95
42,57383,84.21
43,69072,85.71
44,66617,84.21
45,72582,85.71
46,74296,89.47
47,67650,80.00
48,59057,90.00
49,74501,80.00
50,55675,90.00
51,67423,80.95
52,68763,90.00
53,66756,80.00
54,72612,89.47
55,67265,80.00
56,70006,90.00
57,72032,80.00
58,75614,85.71
59,67457,84.21
60,71939,89.47
61,77067,85.71
62,74154,80.00
63,72625,89.47
64,70566,80.00
65,73214,90.48
66,65622,80.00
67,71145,89.47
68,77886,90.00
69,69567,80.00
70,59567,85.71
71,74348,84.21
72,64573,85.00
73,72947,85.71
74,71362,85.00
75,67119,84.21
76,69095,90.00
77,66258,76.19
78,55499,95.00
79,68238,80.00
80,71193,85.00
81,68405,84.21
82,69844,90.00
83,58923,80.00
84,72393,85.71
85,59593,85.00
86,73675,85.00
87,53976,85.71
88,70715,85.71
89,70585,88.89
90,72962,80.95
91,75489,89.47
92,75832,80.00
93,72137,90.00
94,68334,80.00
95,71999,90.00
96,65558,80.00
97,73688,89.47
98,59897,80.00
99,69039,89.47
100,67669,80.95
101,68488,89.47
102,67029,85.71
103,71098,85.00
104,58168,84.21
105,69526,85.00
106,57825,84.21
107,72932,85.00
108,72817,90.00
109,69517,78.95
110,68508,90.00
111,70107,78.26
112,71193,88.89
113,70371,80.00
114,85753,90.00
115,70142,80.00
116,72757,94.74
117,58628,80.95
118,72266,85.00
119,55283,85.71
120,72726,85.00
121,56333,85.00
122,73718,84.21
123,70719,90.00
124,68677,80.95
125,72364,90.00
126,71224,80.00
127,68596,90.00
128,69892,80.00
129,70405,90.00
130,72180,80.00
131,70997,89.47
132,69159,80.00
133,67842,85.71
134,67484,84.21
135,67695,90.00
136,71680,85.00
137,71660,84.21
138,57648,89.47
139,72266,77.27
140,71429,90.00
141,67964,78.95
142,68453,90.00
143,71356,78.95
144,69100,90.48
145,55060,85.00
146,69404,85.00
147,53239,85.00
148,69962,85.71
149,58250,85.00
150,68100,85.00
151,67648,89.47
152,64474,75.00
153,67858,94.74
