sample,work_ns,cpu_utilization
1,63660,75.00
2,67339,100.00
3,65049,100.00
4,63797,75.00
5,70156,100.00
6,67655,100.00
7,67577,100.00
8,68634,100.00
9,64898,100.00
10,67210,75.00
11,63312,100.00
12,64443,100.00
13,68045,100.00
14,65523,100.00
15,62374,100.00
16,69647,75.00
17,65746,100.00
18,66172,100.00
19,65464,100.00
20,65188,100.00
21,64838,100.00
22,68909,75.00
23,65532,100.00
24,69121,100.00
25,69182,100.00
26,66448,80.00
27,63589,100.00
28,65007,100.00
29,84486,100.00
30,68679,100.00
31,64876,100.00
32,68116,80.00
33,65153,100.00
34,67298,100.00
35,68707,100.00
36,67499,100.00
37,65412,100.00
38,67031,80.00
39,76657,100.00
40,64145,100.00
41,78739,100.00
42,74492,75.00
43,68745,100.00
44,61831,100.00
45,66471,100.00
46,62816,100.00
47,64749,100.00
48,73382,75.00
49,70077,100.00
50,67938,100.00
51,67411,100.00
52,62233,100.00
53,71408,100.00
54,69736,80.00
55,66235,100.00
56,66256,100.00
57,67752,100.00
58,67492,80.00
59,68193,100.00
60,66132,100.00
61,67245,100.00
62,66260,100.00
63,67841,100.00
64,66502,80.00
65,64443,100.00
66,69244,100.00
67,67782,100.00
68,64983,100.00
69,64721,100.00
70,66960,75.00
71,67480,100.00
72,64569,100.00
73,68655,100.00
74,63208,80.00
75,65347,100.00
76,63712,100.00
77,68918,100.00
78,66934,100.00
79,65301,100.00
80,65312,80.00
81,67207,100.00
82,63874,100.00
83,64648,100.00
84,63824,100.00
85,63941,100.00
86,67019,75.00
87,64871,100.00
88,62513,100.00
89,53057,100.00
90,66513,75.00
91,42218,100.00
92,66130,100.00
93,64359,100.00
94,63409,100.00
95,65876,80.00
96,65076,100.00
97,67252,100.00
98,57617,100.00
99,67318,100.00
100,62501,100.00
101,64549,80.00
102,66055,100.00
103,65455,100.00
104,63855,100.00
105,69440,100.00
106,67900,100.00
107,65788,100.00
108,70375,75.00
109,66442,100.00
110,66440,100.00
111,67109,80.00
112,64752,100.00
113,65197,100.00
114,68692,100.00
115,62737,100.00
116,66796,100.00
117,64114,75.00
118,71736,100.00
119,65635,100.00
120,65733,100.00
121,65315,100.00
122,66116,100.00
123,64694,80.00
124,67460,100.00
125,68519,100.00
126,65125,100.00
127,66819,80.00
128,63960,100.00
129,69626,100.00
130,70331,100.00
131,64996,100.00
132,64382,100.00
133,64950,100.00
134,71768,80.00
135,68031,100.00
136,67414,100.00
137,61976,100.00
138,65328,100.00
139,65454,75.00
140,63438,100.00
141,59756,100.00
142,66195,100.00
143,68927,80.00
144,64413,100.00
145,59213,100.00
146,71402,100.00
147,67270,100.00
148,66447,100.00
149,62498,75.00
150,65531,100.00
151,65800,100.00
152,73166,100.00
153,61760,100.00
154,54761,100.00
155,64206,80.00
156,65850,100.00
157,57610,100.00
158,64513,100.00
159,68708,80.00
160,68616,100.00
161,63704,100.00
162,67910,100.00
163,62231,100.00
164,68301,100.00
165,60252,75.00
166,67068,100.00
167,65237,100.00
168,63883,100.00
169,62527,100.00
170,68030,80.00
171,66237,100.00
172,68796,100.00
173,61364,100.00
174,67605,100.00
175,66458,100.00
176,71767,80.00
177,63261,100.00
178,64762,100.00
179,65115,100.00
180,70576,80.00
181,65779,100.00
182,67113,100.00
183,65665,100.00
184,68002,100.00
185,64067,100.00
186,65313,75.00
187,65278,100.00
188,67450,100.00
189,66438,100.00
190,70129,100.00
191,67711,100.00
192,69598,80.00
193,63795,100.00
194,65387,100.00
195,68881,100.00
196,66494,100.00
197,64591,100.00
198,55584,75.00
199,65698,100.00
200,66730,100.00
201,66281,100.00
202,67193,80.00
203,63120,100.00
