sample,work_ns,cpu_utilization
1,64876,100.00
2,63861,100.00
3,54320,75.00
4,65463,50.00
5,49963,100.00
6,54774,75.00
7,60803,66.67
8,65427,60.00
9,63559,100.00
10,55203,75.00
11,62184,66.67
12,52405,75.00
13,63476,100.00
14,40426,60.00
15,69451,50.00
16,45230,100.00
17,49882,100.00
18,68592,25.00
19,66760,100.00
20,66920,100.00
21,55488,50.00
22,66687,66.67
23,42945,100.00
24,52852,100.00
25,69374,50.00
26,67035,50.00
27,65799,100.00
28,52643,100.00
29,66123,50.00
30,74904,75.00
31,67029,100.00
32,52071,75.00
33,69911,40.00
34,67571,100.00
35,56342,100.00
36,71558,50.00
37,69475,75.00
38,66555,100.00
39,54329,50.00
40,66009,66.67
41,67050,80.00
42,52125,100.00
43,55900,66.67
44,65546,50.00
45,62423,80.00
46,64326,100.00
47,67345,66.67
48,69052,50.00
49,49900,80.00
50,67013,100.00
51,69858,0.00
52,70909,100.00
53,66366,100.00
54,53859,75.00
55,66396,50.00
56,55357,100.00
57,55968,75.00
58,60714,75.00
59,41817,50.00
60,67321,100.00
61,42259,100.00
62,54215,25.00
63,65511,75.00
64,66555,100.00
65,67325,100.00
66,57932,40.00
67,69811,75.00
68,49837,100.00
69,65941,75.00
70,76007,50.00
71,66152,100.00
72,55179,80.00
73,68291,33.33
74,70036,75.00
75,64792,100.00
76,55297,100.00
77,68739,25.00
78,59550,75.00
79,66017,100.00
80,45404,100.00
81,66902,25.00
82,62414,75.00
83,70934,100.00
84,60173,75.00
85,65346,50.00
86,66133,100.00
87,57655,80.00
88,63718,33.33
89,70410,100.00
90,61995,100.00
91,55392,80.00
92,65006,25.00
93,69459,100.00
94,62002,100.00
95,53396,80.00
96,55490,33.33
97,73188,60.00
98,70389,100.00
99,67754,100.00
100,55246,50.00
101,72941,50.00
102,66148,100.00
103,55129,100.00
104,68035,25.00
105,69234,100.00
106,63691,100.00
107,56191,25.00
108,72043,100.00
109,71951,100.00
110,56236,100.00
111,71076,25.00
112,68419,75.00
113,68223,100.00
114,63839,100.00
115,63794,40.00
116,67331,66.67
117,67877,100.00
118,53869,80.00
119,70666,25.00
120,69590,100.00
121,71691,100.00
122,55545,50.00
123,66689,66.67
124,60987,100.00
125,66841,100.00
126,55353,40.00
127,67928,66.67
128,63255,100.00
129,66069,100.00
130,54555,60.00
131,66251,40.00
132,68345,100.00
133,62803,100.00
134,60991,75.00
135,68395,33.33
136,71618,100.00
137,67345,80.00
138,62405,33.33
139,70578,75.00
140,68289,100.00
141,56656,75.00
142,73231,50.00
143,67224,100.00
144,66185,100.00
145,58895,60.00
146,65058,33.33
147,69369,100.00
148,64078,100.00
149,67666,75.00
150,54690,25.00
151,67752,80.00
152,67146,100.00
153,54136,100.00
154,68399,25.00
155,66018,100.00
156,62958,100.00
157,61138,50.00
158,75545,50.00
159,60254,100.00
160,67682,100.00
161,61852,33.33
162,72325,60.00
163,69007,100.00
164,67491,100.00
165,58681,50.00
166,66162,50.00
167,67619,100.00
168,67093,100.00
169,55858,50.00
170,69648,50.00
171,65260,100.00
172,68594,100.00
173,56221,25.00
174,67413,100.00
175,69585,100.00
176,57744,50.00
177,68322,50.00
178,64605,100.00
179,65475,100.00
180,56286,66.67
181,71495,40.00
182,68109,100.00
183,66060,100.00
184,55227,75.00
185,59383,25.00
186,52388,100.00
187,66729,100.00
188,55409,66.67
189,66991,40.00
190,68334,100.00
191,62109,100.00
192,61201,50.00
193,70803,50.00
194,67562,100.00
195,67860,100.00
196,59711,50.00
197,73127,66.67
198,65442,100.00
199,67014,100.00
200,55658,40.00
201,71015,66.67
202,65437,100.00
203,66467,100.00
204,56547,60.00
205,70837,25.00
206,64006,100.00
207,57329,100.00
208,65433,33.33
209,67195,80.00
210,68553,100.00
211,75513,50.00
212,48248,66.67
213,67568,100.00
214,69227,100.00
215,59079,60.00
216,65743,33.33
217,65673,100.00
218,65199,100.00
219,69860,75.00
220,70628,33.33
221,65689,100.00
222,67941,100.00
223,57246,100.00
224,72709,25.00
225,70389,80.00
226,68585,100.00
227,73501,50.00
228,67200,66.67
229,65499,100.00
230,53544,100.00
231,68013,25.00
232,67051,100.00
233,62556,100.00
234,66429,75.00
235,56940,25.00
236,69818,100.00
237,64768,100.00
238,53502,75.00
239,71571,25.00
240,71214,100.00
241,68790,100.00
242,58207,50.00
243,62307,60.00
244,64865,100.00
245,53707,100.00
246,64879,25.00
247,67966,100.00
248,61478,100.00
249,53995,75.00
250,72955,25.00
251,69787,100.00
252,66529,100.00
253,69716,100.00
254,56606,40.00
255,67463,66.67
256,66093,100.00
257,64919,100.00
258,55957,40.00
259,67628,66.67
260,65995,100.00
261,66952,80.00
262,53473,25.00
263,67837,100.00
264,67829,100.00
265,54915,100.00
266,67393,0.00
267,68686,100.00
268,63285,100.00
269,56904,100.00
270,69160,0.00
271,66790,80.00
272,63490,100.00
273,55181,100.00
274,68486,25.00
275,67288,80.00
276,65271,100.00
277,52415,66.67
278,65061,50.00
279,64908,100.00
280,55296,100.00
281,70010,40.00
282,71954,75.00
283,71275,100.00
284,54899,100.00
285,63387,25.00
286,73058,75.00
287,69249,100.00
288,66369,100.00
289,58949,33.33
290,71228,50.00
291,67147,100.00
292,65726,100.00
293,59226,50.00
294,74079,50.00
295,69092,100.00
296,55158,100.00
297,70319,25.00
298,69407,100.00
299,66800,100.00
300,66753,50.00
301,73264,50.00
302,66927,100.00
303,67003,100.00
304,59718,50.00
305,71018,50.00
306,69095,100.00
307,66506,100.00
308,53490,75.00
309,66421,25.00
310,50718,100.00
311,65693,100.00
312,62760,50.00
313,78492,50.00
314,69820,100.00
315,64619,100.00
316,57989,25.00
317,69624,100.00
318,68145,100.00
319,68573,100.00
320,59274,20.00
321,71177,100.00
322,67595,100.00
323,54946,100.00
324,71223,25.00
325,69727,75.00
326,68143,100.00
327,69149,100.00
328,60004,25.00
329,68214,75.00
330,68931,100.00
331,71093,75.00
332,68068,25.00
333,68853,100.00
334,68233,100.00
335,58146,50.00
336,57167,75.00
337,67194,100.00
338,65627,100.00
339,56181,25.00
340,67782,66.67
341,68766,100.00
342,66305,100.00
343,57033,60.00
344,88819,33.33
345,64583,100.00
346,63978,100.00
347,61443,50.00
348,72212,50.00
349,65406,100.00
350,64471,100.00
351,58178,40.00
352,70199,66.67
353,69243,100.00
354,52508,100.00
355,65359,25.00
356,72729,75.00
357,66531,100.00
358,52712,100.00
359,59722,40.00
360,70488,66.67
361,65558,100.00
362,68424,100.00
363,57738,40.00
364,66689,66.67
365,66255,100.00
366,56780,80.00
367,70619,50.00
368,66391,100.00
369,66953,100.00
370,63433,25.00
371,63393,75.00
372,69618,100.00
373,67059,100.00
374,57056,50.00
375,73827,50.00
376,67147,100.00
377,69849,100.00
378,59970,75.00
379,70200,25.00
380,71488,100.00
381,64701,100.00
382,57313,75.00
383,67482,25.00
384,70382,100.00
385,70851,100.00
386,66513,40.00
387,67870,100.00
388,76936,100.00
389,56378,80.00
390,70505,25.00
391,73327,100.00
392,62907,100.00
393,70555,100.00
394,69698,20.00
395,66825,100.00
396,67260,100.00
397,48933,100.00
398,70202,25.00
399,69680,75.00
400,67418,100.00
401,55647,80.00
402,64526,25.00
403,71783,100.00
404,67017,100.00
405,65892,33.33
406,66978,80.00
407,64242,100.00
408,65201,100.00
409,62846,25.00
410,67460,66.67
411,67439,100.00
412,65370,100.00
413,59075,60.00
414,70236,25.00
415,73175,100.00
416,65930,100.00
417,56006,75.00
418,69691,25.00
419,81382,100.00
420,65322,100.00
421,66245,33.33
422,64633,75.00
423,64878,100.00
424,73565,75.00
425,68611,50.00
426,69250,100.00
427,68826,100.00
428,58116,50.00
429,68232,50.00
430,71815,100.00
431,65910,100.00
432,67478,75.00
433,59872,25.00
434,68567,100.00
435,68838,100.00
436,58197,25.00
437,72304,75.00
438,67637,100.00
439,71317,100.00
440,60013,25.00
441,73658,100.00
442,72511,100.00
443,54425,80.00
444,68615,20.00
445,67854,100.00
446,63741,100.00
447,69626,100.00
448,58021,60.00
449,69913,50.00
450,69417,100.00
451,65655,100.00
452,61778,50.00
453,70426,33.33
454,67956,100.00
455,68334,100.00
456,53687,25.00
457,69240,100.00
458,68058,100.00
459,60664,50.00
460,73076,50.00
461,66918,100.00
462,66789,100.00
463,61750,60.00
464,74138,33.33
465,72719,100.00
466,65688,100.00
467,57474,75.00
468,59300,25.00
469,68458,100.00
470,67864,100.00
471,60627,75.00
472,87858,40.00
473,67105,100.00
474,68159,100.00
475,56940,50.00
476,67610,66.67
477,67137,100.00
478,68828,100.00
479,61324,40.00
480,73595,66.67
481,67706,100.00
482,68194,100.00
483,63740,40.00
484,73254,66.67
485,67988,100.00
486,68034,100.00
487,58839,50.00
488,75045,50.00
489,68306,100.00
490,57319,80.00
491,73293,33.33
492,70176,80.00
493,68106,100.00
494,65809,66.67
495,74586,50.00
496,70903,100.00
497,69938,100.00
498,58242,75.00
499,70448,20.00
500,72533,100.00
501,65640,100.00
502,62708,100.00
503,75442,0.00
504,70547,80.00
505,68839,100.00
506,68093,100.00
507,71811,0.00
508,69274,75.00
509,68737,100.00
510,66889,75.00
511,70201,50.00
512,65595,100.00
513,64732,100.00
514,65584,50.00
515,71999,50.00
516,74962,100.00
517,72139,100.00
518,64128,75.00
519,73372,25.00
520,69187,100.00
521,64895,100.00
522,61082,80.00
523,73657,0.00
524,70486,100.00
525,68001,100.00
526,54943,60.00
527,70176,50.00
528,66393,100.00
529,53409,100.00
530,56632,0.00
531,70007,100.00
532,68912,100.00
533,68392,100.00
534,53473,0.00
535,68983,100.00
536,66062,100.00
537,69854,100.00
538,65314,25.00
539,73084,75.00
540,68162,100.00
541,68145,100.00
542,60340,25.00
543,66055,66.67
544,69023,100.00
545,65833,80.00
546,54717,33.33
547,73748,80.00
548,65881,100.00
549,68754,50.00
550,67202,66.67
551,66119,100.00
552,68566,100.00
553,59456,50.00
554,75404,50.00
555,70285,100.00
556,64247,100.00
557,54839,60.00
558,71354,25.00
559,73178,100.00
560,69420,100.00
561,68227,33.33
562,70496,75.00
563,64214,100.00
564,83459,75.00
565,72299,33.33
566,70185,100.00
567,70806,100.00
568,68170,80.00
569,58220,0.00
570,73453,80.00
571,69247,100.00
