sample,work_ns,cpu_utilization
1,55974,0.00
2,85717,0.00
3,60204,25.00
4,72024,0.00
5,83777,66.67
6,46592,33.33
7,54256,50.00
8,90436,0.00
9,56179,0.00
10,57420,0.00
11,83599,50.00
12,51609,33.33
13,63950,50.00
14,78042,33.33
15,66592,0.00
16,57863,50.00
17,76622,50.00
18,55084,40.00
19,65167,0.00
20,71676,50.00
21,64407,50.00
22,51923,50.00
23,83553,33.33
24,43473,50.00
25,61599,33.33
26,42842,66.67
27,54650,0.00
28,54777,0.00
29,85737,0.00
30,59061,0.00
31,70735,33.33
32,61812,50.00
33,65253,60.00
34,54905,50.00
35,82155,33.33
36,48013,50.00
37,55495,33.33
38,44080,66.67
39,74038,25.00
40,64166,0.00
41,85184,0.00
42,56516,0.00
43,65109,50.00
44,79076,33.33
45,42325,66.67
46,67138,50.00
47,80456,50.00
48,65566,50.00
49,38254,50.00
50,74528,50.00
51,56775,0.00
52,61770,0.00
53,90174,25.00
54,54673,0.00
55,67778,0.00
56,86486,66.67
57,64244,50.00
58,51433,33.33
59,80938,0.00
60,60201,33.33
61,61704,66.67
62,83675,50.00
63,71665,0.00
64,57870,0.00
65,86268,0.00
66,69305,33.33
67,50765,66.67
68,83055,66.67
69,67511,0.00
70,66551,50.00
71,82868,66.67
72,62374,33.33
73,56249,0.00
74,84760,0.00
75,56965,0.00
76,67509,50.00
77,81959,50.00
78,68206,66.67
79,57119,0.00
80,80816,66.67
81,64803,66.67
82,47618,33.33
83,76457,33.33
84,60765,0.00
85,61939,0.00
86,90170,25.00
87,69244,33.33
88,66864,50.00
89,43385,33.33
90,64630,66.67
91,73135,33.33
92,83971,50.00
93,71940,50.00
94,69242,50.00
95,88583,0.00
96,61705,0.00
97,62793,0.00
98,84915,33.33
99,60860,0.00
100,71986,33.33
101,79955,66.67
102,55470,50.00
103,54586,33.33
104,90848,33.33
105,67277,33.33
106,39761,66.67
107,79064,50.00
108,69327,0.00
109,58585,0.00
110,88681,0.00
111,69178,33.33
112,68145,33.33
113,76959,50.00
114,58211,25.00
115,74453,33.33
116,77276,50.00
117,62843,50.00
118,58660,0.00
119,79116,0.00
120,48164,75.00
121,65235,33.33
122,66481,50.00
123,69390,33.33
124,50283,50.00
125,87012,50.00
126,57002,66.67
127,57647,0.00
128,89950,0.00
129,59588,0.00
130,59972,0.00
131,87694,0.00
132,54289,66.67
133,66832,50.00
134,80289,33.33
135,72550,50.00
136,58483,50.00
137,65730,66.67
138,65686,50.00
139,61382,25.00
140,85577,33.33
141,58225,0.00
142,58829,0.00
143,96646,0.00
144,70455,50.00
145,51587,50.00
146,83768,50.00
147,65889,50.00
148,66788,33.33
149,42702,50.00
150,66544,75.00
151,60214,0.00
152,98122,0.00
153,64069,0.00
154,59300,0.00
155,89166,25.00
156,70208,33.33
157,65607,50.00
158,61009,50.00
159,58076,25.00
160,69090,50.00
161,84491,50.00
162,47748,60.00
163,58774,0.00
164,103688,0.00
165,68220,0.00
166,73819,0.00
167,78798,50.00
168,67831,50.00
169,62783,33.33
170,104835,33.33
171,57960,66.67
172,67942,33.33
173,84020,0.00
174,57188,0.00
175,67420,0.00
176,78504,33.33
177,66892,75.00
178,71467,0.00
179,63594,33.33
180,60734,75.00
181,62438,50.00
182,82721,50.00
183,61317,33.33
184,58461,0.00
185,80594,0.00
186,57697,0.00
187,59266,0.00
188,81428,33.33
189,60339,0.00
190,74509,50.00
191,43603,50.00
192,68160,100.00
193,53178,100.00
194,46136,66.67
195,65720,66.67
196,57345,0.00
197,113810,0.00
198,61565,0.00
199,59632,0.00
200,85488,25.00
201,54806,0.00
202,57100,0.00
203,83392,0.00
204,69030,50.00
205,60903,50.00
206,56623,100.00
207,64166,100.00
208,65605,50.00
209,74830,50.00
210,60191,33.33
211,55232,0.00
212,81701,33.33
213,59977,0.00
214,61338,0.00
215,81385,0.00
216,66417,0.00
217,69992,33.33
218,79004,50.00
219,57685,50.00
220,71748,0.00
221,85168,50.00
222,69560,33.33
223,63979,33.33
224,82394,0.00
225,50081,50.00
226,66591,50.00
227,43003,50.00
228,63753,66.67
229,48763,50.00
230,71541,50.00
231,56090,50.00
232,56187,25.00
233,86348,0.00
234,61651,0.00
235,57519,0.00
236,91392,0.00
237,65216,50.00
238,45000,50.00
239,82796,50.00
