sample,work_ns,cpu_utilization
1,64077,32.16
2,79500,31.00
3,57332,25.63
4,60161,32.00
5,55407,32.50
6,78051,27.50
7,59692,29.15
8,60833,32.00
9,69512,30.85
10,66962,26.13
11,61401,31.66
12,62477,31.66
13,76280,27.14
14,60365,30.15
15,55896,31.82
16,79631,26.87
17,60457,30.15
18,60979,32.50
19,76679,28.14
20,68917,28.64
21,60388,32.50
22,68438,29.35
23,58795,28.50
24,60603,29.85
25,63080,32.34
26,76809,31.16
27,73513,30.30
28,67192,25.63
29,58864,31.66
30,56707,31.50
31,76106,27.36
32,60707,29.80
33,61405,33.00
34,74334,27.86
35,62651,29.15
36,58200,32.16
37,77223,29.70
38,72691,28.00
39,60344,30.15
40,59836,32.00
41,61911,31.16
42,73107,28.22
43,60296,29.02
44,73715,26.53
45,61264,18.35
46,60547,26.00
47,70293,29.15
48,59010,28.50
49,63030,30.85
50,60774,32.00
51,62196,31.84
52,66186,26.13
53,61966,31.00
54,63493,31.66
55,76858,29.50
56,58809,26.77
57,65114,33.00
58,79955,30.50
59,60577,26.26
60,59500,32.00
