sample,work_ns,cpu_utilization
1,54133,0.00
2,48300,100.00
3,40209,100.00
4,29026,0.00
5,46608,100.00
6,34573,100.00
7,32761,100.00
8,27260,100.00
9,22265,0.00
10,22856,100.00
11,45204,100.00
12,44635,100.00
13,24733,100.00
14,29866,0.00
15,45017,0.00
16,41527,0.00
17,43289,0.00
18,43492,0.00
19,41310,0.00
20,42243,0.00
21,63732,0.00
22,39329,0.00
23,46098,100.00
24,43938,0.00
25,32965,100.00
26,27984,100.00
27,27463,100.00
28,35085,0.00
29,32805,100.00
30,23358,100.00
31,24003,100.00
32,26064,100.00
33,32604,0.00
34,34513,100.00
35,32767,100.00
36,25354,100.00
37,33555,100.00
38,25914,0.00
39,36821,0.00
40,38806,0.00
41,47285,0.00
42,51156,0.00
43,60989,0.00
44,54938,0.00
45,53758,0.00
46,60324,0.00
47,66626,0.00
48,44995,100.00
49,36776,100.00
50,31119,0.00
51,35640,100.00
52,41020,100.00
53,34790,100.00
54,25284,100.00
55,25318,0.00
56,33405,100.00
57,35617,100.00
58,22493,100.00
59,25671,100.00
60,25547,0.00
61,23790,100.00
62,45577,50.00
63,33640,0.00
64,30093,100.00
65,28287,0.00
66,33650,0.00
67,44144,0.00
68,41312,0.00
69,46066,0.00
70,51299,0.00
71,43362,0.00
72,50370,0.00
73,55169,0.00
74,51898,100.00
75,55277,0.00
76,38828,100.00
77,23304,100.00
78,25916,0.00
79,25507,100.00
80,22909,100.00
81,46008,100.00
82,46025,100.00
83,32666,0.00
84,35749,100.00
85,39600,100.00
86,32053,100.00
87,28976,100.00
88,42860,0.00
89,53882,0.00
90,52992,0.00
91,57277,0.00
92,52569,0.00
93,53278,0.00
94,55298,0.00
95,63387,0.00
96,52988,0.00
97,50408,0.00
98,53408,100.00
99,48262,100.00
100,36518,0.00
101,31912,100.00
102,36127,100.00
103,25946,100.00
104,41464,100.00
105,44828,0.00
106,39093,100.00
107,25884,100.00
108,34718,100.00
109,39108,100.00
110,32041,0.00
111,25987,100.00
112,42266,0.00
113,45052,0.00
114,48840,0.00
115,53926,0.00
116,52191,0.00
117,54665,0.00
118,50556,0.00
119,53879,0.00
120,62109,100.00
121,30750,0.00
122,28568,100.00
123,58369,100.00
124,37493,0.00
125,27657,100.00
126,26103,100.00
127,22253,100.00
128,52688,100.00
129,41540,0.00
130,29218,100.00
131,27150,100.00
132,45108,100.00
133,32763,100.00
134,29172,0.00
135,41261,66.67
136,36220,0.00
137,40130,0.00
138,46233,0.00
139,52011,0.00
140,54731,0.00
141,58944,0.00
142,68962,0.00
143,53397,0.00
144,54857,0.00
145,57314,50.00
146,54030,100.00
147,26282,0.00
148,36565,100.00
149,31191,0.00
150,25040,100.00
151,33025,100.00
152,33575,100.00
153,25467,100.00
154,19961,0.00
155,26141,100.00
156,22943,100.00
157,34547,100.00
158,42919,100.00
159,32099,0.00
160,33210,100.00
161,37046,50.00
162,29378,0.00
163,52688,0.00
164,52988,0.00
165,68180,0.00
166,65578,0.00
167,61562,0.00
168,46698,0.00
169,61719,0.00
170,58213,0.00
171,59206,0.00
172,35687,100.00
173,37487,100.00
174,32198,0.00
175,26652,100.00
176,37067,100.00
177,33106,100.00
178,29514,100.00
179,24178,0.00
180,38575,100.00
181,30951,100.00
182,26267,100.00
183,23438,100.00
184,21023,0.00
185,21095,100.00
186,54517,0.00
187,57992,0.00
188,40833,50.00
189,45477,0.00
190,41878,0.00
191,44369,0.00
192,49830,0.00
193,47613,0.00
194,57262,0.00
195,50180,0.00
196,64038,0.00
197,39826,0.00
198,51902,100.00
199,49051,0.00
200,31359,100.00
201,27308,100.00
202,22458,100.00
203,23172,0.00
204,23346,100.00
205,23604,100.00
206,45119,100.00
207,37053,100.00
208,32993,0.00
209,35253,100.00
210,35492,50.00
211,41418,0.00
212,49720,0.00
213,47468,0.00
214,49466,0.00
215,46318,0.00
216,45058,0.00
217,44037,0.00
218,43512,0.00
219,37145,100.00
220,34170,100.00
221,26724,0.00
222,39717,100.00
223,40978,100.00
224,42061,100.00
225,31928,100.00
226,32551,0.00
227,29627,100.00
228,29925,100.00
229,24984,100.00
230,27108,100.00
231,35874,0.00
232,32204,0.00
233,41211,0.00
234,41762,0.00
235,44605,0.00
236,42890,0.00
237,49774,0.00
238,58699,0.00
239,44377,50.00
240,31681,0.00
241,29495,100.00
242,41102,0.00
243,55536,100.00
244,26169,0.00
245,23930,100.00
246,20606,100.00
247,22921,100.00
248,20832,0.00
249,22570,100.00
250,25517,100.00
251,24215,100.00
252,36679,100.00
253,49368,0.00
254,57249,100.00
255,34521,0.00
256,27598,100.00
257,30228,0.00
258,50040,0.00
259,47648,0.00
260,56598,0.00
261,53506,0.00
262,72381,0.00
263,67821,0.00
264,72298,0.00
265,44609,0.00
266,33808,50.00
267,35146,100.00
268,33426,0.00
269,32596,100.00
270,33299,100.00
271,36658,100.00
272,31285,100.00
273,30382,0.00
274,26147,100.00
275,19676,100.00
276,20451,100.00
277,23073,100.00
278,30661,0.00
279,40707,100.00
280,46673,0.00
281,37123,50.00
282,29505,0.00
283,44076,0.00
284,46071,0.00
285,38138,0.00
286,47911,0.00
287,46754,0.00
288,61347,0.00
289,48539,0.00
290,50858,50.00
291,50438,0.00
292,41807,50.00
293,23380,0.00
294,20911,100.00
295,25112,100.00
296,22942,100.00
297,23236,100.00
298,51105,0.00
299,46539,100.00
300,37300,100.00
301,32876,100.00
302,30714,100.00
303,20189,0.00
304,19742,100.00
305,15132,0.00
306,42115,50.00
307,38062,0.00
308,45445,0.00
309,39443,0.00
310,34799,0.00
311,44952,0.00
312,45191,0.00
313,52836,0.00
314,44364,0.00
315,59345,0.00
316,46549,100.00
317,46589,100.00
318,50847,100.00
319,46482,100.00
320,29238,0.00
321,23244,100.00
322,21967,100.00
323,22700,100.00
324,22014,100.00
325,23183,0.00
326,51708,100.00
327,53143,100.00
328,35395,0.00
329,39522,0.00
330,41458,0.00
331,42920,0.00
332,42194,0.00
333,42959,0.00
334,44802,0.00
335,61679,0.00
336,49805,0.00
337,40973,100.00
338,36204,100.00
339,24949,100.00
340,27249,100.00
341,26826,0.00
342,26182,100.00
343,25256,100.00
344,36604,100.00
345,30077,100.00
346,30878,0.00
347,26064,100.00
348,17442,100.00
349,17399,0.00
350,18933,50.00
351,27664,0.00
352,29152,0.00
353,32597,0.00
354,36229,0.00
355,36017,0.00
356,35396,0.00
357,43015,0.00
358,36124,100.00
359,28278,0.00
360,23751,0.00
361,36726,100.00
362,40466,100.00
363,39938,0.00
364,30561,100.00
365,26475,100.00
366,25056,100.00
367,22466,100.00
368,19954,0.00
369,21931,100.00
370,24809,100.00
371,23111,100.00
372,27611,100.00
373,26708,0.00
374,18356,0.00
375,16875,100.00
376,22196,0.00
377,39849,0.00
378,40001,0.00
379,46955,0.00
380,48772,0.00
381,51930,0.00
382,55634,0.00
383,54924,100.00
384,49006,0.00
385,32586,0.00
386,34656,100.00
387,26841,0.00
388,26945,0.00
389,34971,100.00
390,37820,100.00
391,40164,100.00
392,33189,100.00
393,32125,0.00
394,25128,100.00
395,22351,100.00
396,20319,100.00
397,20530,100.00
398,19062,0.00
399,30210,0.00
400,21053,100.00
401,41503,0.00
402,40523,0.00
403,42622,0.00
404,43320,0.00
405,44413,0.00
406,49479,0.00
407,63669,0.00
408,44630,100.00
409,43304,0.00
410,60178,50.00
411,22448,0.00
412,28293,100.00
413,23184,100.00
414,25002,100.00
415,22461,0.00
416,24170,100.00
417,57294,100.00
418,41609,100.00
419,47460,100.00
420,43132,0.00
