sample,work_ns,cpu_utilization
1,55694,0.00
2,65032,33.33
3,46673,50.00
4,63365,66.67
5,65773,100.00
6,42354,50.00
7,37812,50.00
8,61974,33.33
9,57807,0.00
10,71268,33.33
11,58715,50.00
12,64854,50.00
13,64159,100.00
14,65882,66.67
15,46976,50.00
16,53487,33.33
17,60840,0.00
18,81467,25.00
19,63787,50.00
20,67330,100.00
21,65461,100.00
22,57461,100.00
23,55750,33.33
24,58081,0.00
25,56616,0.00
26,67365,25.00
27,56340,100.00
28,63396,100.00
29,62968,100.00
30,34014,50.00
31,52145,33.33
32,76389,0.00
33,59186,0.00
34,71260,33.33
35,61428,66.67
36,65841,100.00
37,64638,100.00
38,66349,66.67
39,59802,50.00
40,58474,0.00
41,68541,0.00
42,40818,33.33
43,66019,66.67
44,61083,100.00
45,65954,50.00
46,35389,66.67
47,63669,50.00
48,58971,0.00
49,67613,0.00
50,76961,66.67
51,48293,50.00
52,64145,100.00
53,50467,100.00
54,53274,50.00
55,56504,0.00
56,63020,0.00
57,57653,0.00
58,62141,100.00
59,68426,100.00
60,45276,100.00
61,37503,100.00
62,69552,100.00
63,61236,0.00
64,70563,0.00
65,59380,0.00
66,58582,0.00
67,72077,0.00
68,55528,100.00
69,56420,100.00
70,64894,100.00
71,54621,66.67
72,58737,0.00
73,58933,0.00
74,66198,50.00
75,62970,33.33
76,62558,100.00
77,67085,100.00
78,52782,100.00
79,42650,33.33
80,54811,50.00
81,57247,0.00
82,58974,0.00
83,68278,50.00
84,42486,50.00
85,68517,66.67
86,68033,100.00
87,41191,50.00
88,29198,50.00
89,57357,0.00
90,57644,0.00
91,68068,33.33
92,62772,75.00
93,59361,100.00
94,61639,100.00
95,51017,75.00
96,53000,0.00
97,60481,0.00
98,71041,0.00
99,56516,0.00
100,74705,100.00
101,70224,100.00
102,60108,100.00
103,42230,100.00
104,54704,50.00
105,70550,0.00
106,56498,0.00
107,73527,0.00
108,69203,33.33
109,69630,100.00
110,60144,100.00
111,43691,100.00
112,55030,33.33
113,72970,50.00
114,60657,0.00
115,72119,0.00
116,65241,50.00
117,63848,50.00
118,62566,100.00
119,63502,100.00
120,33031,66.67
121,59042,33.33
122,62619,0.00
123,59268,0.00
124,68927,50.00
125,68684,50.00
126,67230,100.00
127,50370,100.00
128,52684,66.67
129,59977,0.00
130,59175,0.00
131,80659,25.00
132,60418,100.00
133,67945,100.00
134,64317,100.00
135,48615,100.00
136,70449,75.00
137,60853,0.00
138,57952,0.00
139,57311,0.00
140,57204,0.00
141,65086,33.33
142,59311,100.00
143,60825,100.00
144,65828,100.00
145,59414,66.67
146,71921,0.00
147,60986,0.00
148,67018,33.33
149,59308,50.00
150,66298,66.67
151,65092,100.00
152,62996,100.00
153,48675,33.33
154,57513,66.67
155,58601,0.00
156,56350,0.00
157,70510,0.00
158,48611,66.67
159,69868,66.67
160,65451,100.00
161,60005,100.00
162,40974,50.00
163,56681,33.33
164,60703,0.00
165,57658,0.00
166,66451,0.00
167,67422,50.00
168,50593,100.00
169,65058,100.00
170,62323,100.00
171,57161,0.00
172,57099,0.00
173,57381,0.00
174,69370,50.00
175,59081,66.67
176,67093,100.00
177,32177,100.00
178,43547,100.00
179,54382,50.00
180,57011,0.00
181,56338,0.00
182,66484,0.00
183,73165,33.33
184,52893,100.00
185,46506,100.00
186,62594,100.00
187,57081,50.00
188,74606,0.00
189,61497,0.00
190,69125,33.33
191,51779,50.00
192,74125,100.00
193,62611,100.00
194,51480,75.00
195,49622,50.00
196,57442,33.33
197,58413,0.00
198,56086,0.00
199,70306,33.33
200,46008,50.00
201,60349,100.00
202,63690,100.00
203,42208,100.00
204,56593,0.00
205,58600,0.00
206,85388,0.00
207,61373,50.00
208,62023,100.00
209,67755,100.00
210,43708,100.00
211,65213,100.00
