sample,work_ns,cpu_utilization
1,68123,87.50
2,56625,12.50
3,58335,0.00
4,60225,0.00
5,62259,0.00
6,62018,0.00
7,59960,0.00
8,63343,0.00
9,60845,0.00
10,67512,62.50
11,73343,100.00
12,63974,0.00
13,62548,0.00
14,61078,0.00
15,59293,0.00
16,73399,0.00
17,59400,0.00
18,60799,0.00
19,78190,0.00
20,59469,0.00
21,71720,66.67
22,70652,75.00
23,60096,0.00
24,62192,0.00
25,62455,0.00
26,62750,0.00
27,70203,0.00
28,64335,0.00
29,63734,0.00
30,71564,33.33
31,73073,28.57
32,60606,37.50
33,62920,0.00
34,59066,0.00
35,61340,0.00
36,63893,0.00
37,74287,50.00
38,76826,37.50
39,61862,22.22
40,69154,0.00
41,66166,0.00
42,61429,0.00
43,65900,0.00
44,74151,0.00
45,68114,100.00
46,65586,37.50
47,60585,0.00
48,63553,0.00
49,62725,0.00
50,58840,0.00
51,72378,0.00
52,61018,0.00
53,72949,0.00
54,73871,50.00
55,71378,100.00
56,61770,11.11
57,68858,0.00
58,59922,0.00
59,62686,0.00
60,60393,0.00
61,59386,0.00
62,61432,0.00
63,58964,0.00
64,72759,28.57
65,56436,77.78
66,63127,12.50
67,61495,0.00
68,61811,0.00
69,63207,0.00
70,59271,0.00
71,68396,12.50
72,69541,50.00
73,57871,0.00
74,58306,42.86
75,61202,0.00
76,62745,0.00
77,60304,0.00
78,72301,0.00
79,68633,33.33
80,64994,100.00
81,58802,14.29
82,61167,0.00
83,60173,0.00
84,59505,0.00
85,59882,0.00
86,60456,0.00
87,62919,0.00
88,62922,0.00
89,67485,44.44
90,56769,100.00
91,62015,11.11
92,60014,0.00
93,59960,0.00
94,58516,0.00
95,59596,0.00
96,57449,0.00
97,59032,0.00
98,61428,0.00
99,71204,85.71
100,57998,66.67
101,58733,0.00
102,58305,0.00
103,57919,0.00
104,57640,0.00
105,57837,0.00
106,59092,0.00
107,61661,0.00
108,71791,25.00
109,64895,42.86
110,55625,37.50
111,56932,0.00
112,58765,0.00
113,61303,0.00
114,70243,0.00
115,67823,50.00
116,69942,25.00
117,60822,25.00
118,62298,0.00
119,65630,0.00
120,58521,0.00
121,69518,0.00
122,72944,12.50
123,68129,100.00
124,61051,50.00
125,61264,0.00
126,61911,0.00
127,56674,0.00
128,60761,0.00
129,59697,0.00
130,61186,0.00
131,59104,0.00
132,58769,0.00
133,71418,62.50
134,54237,87.50
135,60143,0.00
136,68607,0.00
137,58158,0.00
138,60250,0.00
139,58251,0.00
140,57458,0.00
141,69261,0.00
142,62950,0.00
143,74823,71.43
144,62266,55.56
145,58410,0.00
146,59351,0.00
147,60325,0.00
148,60842,0.00
149,59593,0.00
150,73916,28.57
151,59077,33.33
152,81010,0.00
153,57689,28.57
154,60850,0.00
155,61399,0.00
156,61097,0.00
157,76079,12.50
158,70298,75.00
159,71267,62.50
160,61693,0.00
161,63221,0.00
162,62952,0.00
163,61686,0.00
164,56862,0.00
165,67276,0.00
166,60126,0.00
167,73736,25.00
168,69723,100.00
169,59206,28.57
170,59161,0.00
171,59530,0.00
172,63131,0.00
173,60289,0.00
174,61135,0.00
175,57237,0.00
176,60003,0.00
177,57478,0.00
178,72766,75.00
179,59592,87.50
180,58309,0.00
181,57307,0.00
182,60111,0.00
183,58774,0.00
184,60790,0.00
185,61238,0.00
186,55295,0.00
187,65376,0.00
188,72321,12.50
189,70915,88.89
190,58461,25.00
191,58555,0.00
192,59142,0.00
193,66321,0.00
194,58285,0.00
195,59192,0.00
196,73471,28.57
197,56970,25.00
198,71642,25.00
199,59725,22.22
200,59306,0.00
201,61770,0.00
202,59354,0.00
203,70894,12.50
204,70914,100.00
205,57175,33.33
206,62830,0.00
207,60003,0.00
208,60902,0.00
209,61385,0.00
210,60598,0.00
211,58221,0.00
212,61843,0.00
213,74457,37.50
214,57307,100.00
215,59915,0.00
216,60777,0.00
217,58380,0.00
218,59213,0.00
219,58673,0.00
220,56954,0.00
221,63201,0.00
222,60718,0.00
223,68887,75.00
224,61242,62.50
225,61282,0.00
226,59652,0.00
227,59531,0.00
228,61781,0.00
229,65142,0.00
230,70516,25.00
231,61763,37.50
232,66113,0.00
233,57455,28.57
234,55566,0.00
235,60004,0.00
236,63172,0.00
237,73909,11.11
238,72983,71.43
239,59170,66.67
240,60364,0.00
241,61307,0.00
242,58571,0.00
243,59039,0.00
244,61642,0.00
245,62048,0.00
246,72343,0.00
247,73471,28.57
248,75003,100.00
249,68240,25.00
250,73460,0.00
251,71592,0.00
252,61976,0.00
253,59519,0.00
254,64722,0.00
255,58221,0.00
256,61633,0.00
257,72486,0.00
258,75838,88.89
259,69015,62.50
260,61359,0.00
261,57607,0.00
262,59642,0.00
263,61915,0.00
264,59313,0.00
265,61850,0.00
266,61799,0.00
267,62177,0.00
268,71864,37.50
269,69081,75.00
270,62040,0.00
271,61712,0.00
272,69949,0.00
273,72703,0.00
274,62773,0.00
275,75611,22.22
276,61895,42.86
277,61657,0.00
278,69671,37.50
279,61420,0.00
280,59448,0.00
281,59661,0.00
282,62945,0.00
283,68161,50.00
284,69677,100.00
285,72730,11.11
286,61241,0.00
287,64271,0.00
288,67433,0.00
289,70828,0.00
290,73183,0.00
291,59161,0.00
292,62064,0.00
293,70039,14.29
294,66000,100.00
295,69315,33.33
296,57592,0.00
297,56236,0.00
298,69125,0.00
299,59504,0.00
300,64307,0.00
301,60516,0.00
302,62314,0.00
303,68241,25.00
304,60061,87.50
305,62055,0.00
306,66971,0.00
307,61328,0.00
308,58022,0.00
309,62046,0.00
310,69784,37.50
311,57944,33.33
312,60289,0.00
313,63698,28.57
314,62190,0.00
315,57558,0.00
316,68897,0.00
317,69953,22.22
318,69338,57.14
319,70116,50.00
320,56169,12.50
321,59600,0.00
322,59613,0.00
323,60308,0.00
324,63904,0.00
325,60955,0.00
326,71577,25.00
327,69172,87.50
328,56752,25.00
329,60595,0.00
330,62491,0.00
331,59497,0.00
332,62640,0.00
333,62158,0.00
334,80542,0.00
335,74998,12.50
336,68692,62.50
337,54567,62.50
338,67108,0.00
339,60882,0.00
340,60329,0.00
341,63681,0.00
342,59343,0.00
343,60569,0.00
344,60850,0.00
345,70586,71.43
346,58378,55.56
347,63195,0.00
348,69827,0.00
349,60842,0.00
350,58202,0.00
351,59793,0.00
352,70543,14.29
353,59667,37.50
354,71902,33.33
355,65170,0.00
356,59352,0.00
357,61411,0.00
358,62008,0.00
359,69745,22.22
360,68994,85.71
361,60141,44.44
362,57466,0.00
363,59290,0.00
364,59921,0.00
365,57443,0.00
366,61736,0.00
367,89671,0.00
368,70629,12.50
369,68136,85.71
370,60806,44.44
371,61091,0.00
372,62828,0.00
373,61715,0.00
374,58000,0.00
375,63427,0.00
376,58078,0.00
377,67355,12.50
378,66733,50.00
379,67873,50.00
380,64123,0.00
381,61756,0.00
382,60593,0.00
383,61487,0.00
384,59314,0.00
385,68852,25.00
386,69649,100.00
387,57095,12.50
388,59438,0.00
389,67502,0.00
390,56853,0.00
391,61322,0.00
392,61146,0.00
393,55537,0.00
394,69856,44.44
395,69641,100.00
396,57541,0.00
397,72215,0.00
398,59406,0.00
399,59144,0.00
400,60284,0.00
401,57069,0.00
402,78369,0.00
403,80313,0.00
404,72963,57.14
405,70965,88.89
406,59655,0.00
407,73970,0.00
408,63736,0.00
409,60441,0.00
410,59670,0.00
411,60644,0.00
412,58409,0.00
413,64224,0.00
414,69171,50.00
415,72657,88.89
416,60130,0.00
417,62457,0.00
418,59124,0.00
419,60572,0.00
420,62111,0.00
421,64224,0.00
422,63729,0.00
423,71941,0.00
424,71156,80.00
425,57747,75.00
426,59197,0.00
427,63364,0.00
428,59088,0.00
429,60720,0.00
430,56565,0.00
431,71403,0.00
432,59272,0.00
433,73109,25.00
434,63150,37.50
435,72716,25.00
436,58553,12.50
437,58156,0.00
438,71021,0.00
439,61802,0.00
440,69105,12.50
441,68425,71.43
442,55830,50.00
443,57205,0.00
444,57627,0.00
445,58428,0.00
446,61282,0.00
447,60874,0.00
448,70402,0.00
449,60511,0.00
450,71521,87.50
451,66017,66.67
452,57807,0.00
453,59164,0.00
454,58621,0.00
455,79036,0.00
456,61042,0.00
457,60106,0.00
458,69735,0.00
459,60625,0.00
460,72692,71.43
461,53878,75.00
462,70145,0.00
463,61031,0.00
464,59524,0.00
465,59634,0.00
466,62542,0.00
467,59150,0.00
468,59343,0.00
469,67819,25.00
470,68467,88.89
471,70710,12.50
472,62761,0.00
473,61014,0.00
474,59830,0.00
475,69304,0.00
476,60553,0.00
477,68271,0.00
478,68062,42.86
479,69140,75.00
480,61030,0.00
481,69707,0.00
482,59913,0.00
483,59344,0.00
484,58498,0.00
485,60363,0.00
486,73573,42.86
487,57745,66.67
488,62121,25.00
489,59104,0.00
490,57848,0.00
491,60354,0.00
492,63393,0.00
493,58323,0.00
494,63441,0.00
495,68491,50.00
496,68209,57.14
497,59823,22.22
498,63643,0.00
499,72951,0.00
500,67624,0.00
501,62998,0.00
502,65328,0.00
503,74605,25.00
504,68956,75.00
505,59502,12.50
506,57060,0.00
507,62918,0.00
508,73267,0.00
509,59976,0.00
510,69919,50.00
511,60304,12.50
512,57361,37.50
513,63091,0.00
514,59261,0.00
515,61037,0.00
516,59087,0.00
517,71921,42.86
518,71924,50.00
519,65318,25.00
520,60601,0.00
521,61141,0.00
522,61529,0.00
523,60610,0.00
524,61972,0.00
525,71737,37.50
526,67238,55.56
527,62681,28.57
528,60633,0.00
529,63767,0.00
530,62815,0.00
531,60137,0.00
532,69172,0.00
533,74397,12.50
534,68963,75.00
535,57002,62.50
536,66235,0.00
537,70660,0.00
538,63701,0.00
539,59206,0.00
540,57690,0.00
541,55603,0.00
542,59463,0.00
543,71966,37.50
544,58091,71.43
545,63099,11.11
546,60983,0.00
547,64590,0.00
548,60264,0.00
549,74047,0.00
550,70643,50.00
551,56486,12.50
552,60710,37.50
553,69450,0.00
554,56334,0.00
555,59279,0.00
556,59202,0.00
557,73222,37.50
558,70098,87.50
559,60893,12.50
560,71745,0.00
561,70979,0.00
562,55123,0.00
563,60410,0.00
564,62585,0.00
565,79296,0.00
566,71381,0.00
567,73501,77.78
568,57243,62.50
569,63768,0.00
570,62386,0.00
571,60946,0.00
572,58729,0.00
573,60996,0.00
574,58381,0.00
575,70621,0.00
576,73769,25.00
577,68177,100.00
578,61301,0.00
579,59241,0.00
580,60176,0.00
581,59245,0.00
582,72079,0.00
583,70808,0.00
584,73231,50.00
585,60037,11.11
586,75102,28.57
587,59361,11.11
588,63076,0.00
589,62949,0.00
590,61574,0.00
591,71669,37.50
592,70818,87.50
593,62584,22.22
594,60404,0.00
595,57584,0.00
596,62299,0.00
597,60215,0.00
598,57244,0.00
599,63008,0.00
600,73205,0.00
601,70020,87.50
602,57196,62.50
603,67250,0.00
604,60577,0.00
605,63197,0.00
606,61046,0.00
607,64318,0.00
608,59620,0.00
609,65076,0.00
610,58096,0.00
611,76067,50.00
612,68814,100.00
613,63877,12.50
614,58101,0.00
615,59483,0.00
616,64427,0.00
617,60153,0.00
618,69805,0.00
619,63370,0.00
620,60947,0.00
621,72364,0.00
622,70699,87.50
623,79490,37.50
624,63555,0.00
625,60207,0.00
626,62196,0.00
627,60611,0.00
628,67751,0.00
629,73906,37.50
630,62930,25.00
631,72899,12.50
632,60615,25.00
633,61852,0.00
634,59144,0.00
635,72802,0.00
636,59187,0.00
637,74341,75.00
638,59201,75.00
639,60319,0.00
640,58227,0.00
641,61971,0.00
642,57962,0.00
643,59135,0.00
644,58994,0.00
645,58226,0.00
