sample,work_ns,cpu_utilization
1,60550,0.00
2,60844,0.00
3,65596,0.00
4,59854,0.00
5,61445,0.00
6,66664,0.00
7,68116,33.33
8,39701,100.00
9,66307,100.00
10,64107,100.00
11,58518,25.00
12,53695,0.00
13,57681,0.00
14,58963,0.00
15,57280,0.00
16,57566,0.00
17,67193,0.00
18,58765,0.00
19,67040,0.00
20,61287,0.00
21,70514,75.00
22,41796,100.00
23,61093,100.00
24,53725,60.00
25,56542,0.00
26,55847,0.00
27,56518,0.00
28,56710,0.00
29,62018,0.00
30,60390,0.00
31,57139,0.00
32,60516,0.00
33,60065,0.00
34,72327,50.00
35,69692,100.00
36,43301,100.00
37,69455,100.00
38,61690,0.00
39,59012,0.00
40,60553,0.00
41,62336,0.00
42,64345,0.00
43,58351,0.00
44,61596,0.00
45,60509,0.00
46,72500,0.00
47,58825,0.00
48,70329,60.00
49,50887,100.00
50,54007,75.00
51,60341,0.00
52,58623,0.00
53,60543,0.00
54,62411,0.00
55,57368,0.00
56,60023,0.00
57,64369,40.00
58,39583,100.00
59,65193,100.00
60,58872,100.00
61,56535,0.00
62,57432,0.00
63,58676,0.00
64,58511,0.00
65,66886,0.00
66,57344,0.00
67,59832,0.00
68,57953,0.00
69,60217,0.00
70,70924,40.00
71,42068,100.00
72,60315,100.00
73,67327,100.00
74,62394,0.00
75,61548,0.00
76,57246,0.00
77,58352,0.00
78,61327,0.00
79,61243,0.00
80,61655,0.00
81,62891,0.00
82,59699,0.00
83,77324,20.00
84,66156,100.00
85,65338,100.00
86,61477,100.00
87,55360,50.00
88,62674,0.00
89,60000,0.00
90,60522,0.00
91,61110,0.00
92,63509,0.00
93,62562,0.00
94,60031,0.00
95,62801,0.00
96,57616,0.00
97,67501,20.00
98,40984,100.00
99,67759,100.00
100,57329,25.00
101,57969,0.00
102,55210,0.00
103,56305,0.00
104,58730,0.00
105,55086,0.00
106,58584,0.00
107,68931,80.00
108,76945,100.00
109,58733,100.00
110,53429,75.00
111,56446,0.00
112,55930,0.00
113,61941,0.00
114,59614,0.00
115,60717,0.00
116,61031,0.00
117,59266,0.00
118,52440,0.00
119,57284,0.00
120,73502,0.00
121,61592,100.00
122,66877,100.00
123,80596,100.00
124,57170,33.33
125,58337,0.00
126,58465,0.00
127,58129,0.00
128,57503,0.00
129,61146,0.00
130,60725,0.00
131,63349,0.00
132,61261,0.00
133,58676,0.00
134,57452,0.00
135,69975,100.00
136,62161,100.00
137,67750,100.00
138,55478,75.00
139,58158,0.00
140,59986,0.00
141,55816,0.00
142,59645,0.00
143,56512,0.00
144,60115,0.00
145,58031,0.00
146,58398,0.00
147,55643,0.00
148,57547,0.00
149,68015,80.00
150,67987,100.00
151,38537,100.00
152,54153,33.33
153,65163,0.00
154,57075,0.00
155,57185,0.00
156,62166,0.00
157,61320,0.00
158,57531,0.00
159,56578,0.00
160,64527,0.00
161,59172,0.00
162,70873,66.67
163,47865,100.00
164,56145,75.00
165,56043,0.00
166,58880,0.00
167,55800,0.00
168,59649,0.00
169,63973,0.00
170,61016,0.00
171,66982,33.33
172,40461,100.00
173,67189,100.00
174,69711,100.00
175,57896,0.00
176,66822,0.00
177,59189,0.00
178,59890,0.00
179,64251,0.00
180,58206,0.00
181,60787,0.00
182,56971,0.00
183,62602,0.00
184,72631,40.00
185,43921,100.00
186,68374,100.00
187,66954,100.00
188,60694,0.00
189,57182,0.00
190,58533,0.00
191,65228,0.00
192,62640,0.00
193,56774,0.00
194,60712,0.00
195,56697,0.00
196,60678,0.00
197,70125,40.00
198,66239,100.00
199,42968,100.00
200,65437,100.00
201,60247,25.00
202,58480,0.00
203,63245,0.00
204,62258,0.00
205,61713,0.00
206,64259,0.00
207,63721,0.00
208,58829,0.00
209,61393,0.00
210,54799,0.00
211,66709,40.00
212,65527,100.00
213,53978,75.00
214,56405,0.00
215,59577,0.00
216,70186,0.00
217,59034,0.00
218,59652,0.00
219,67632,20.00
220,43460,100.00
221,81104,100.00
222,55185,100.00
223,69671,75.00
224,59038,0.00
225,58033,0.00
226,59079,0.00
227,55915,0.00
228,57942,0.00
229,61288,0.00
230,58473,0.00
231,57870,0.00
232,58889,0.00
233,57245,0.00
234,65675,50.00
235,37589,100.00
236,65411,100.00
237,56984,100.00
238,58808,0.00
239,57116,0.00
240,64158,0.00
241,58871,0.00
242,59906,0.00
243,60454,0.00
244,66162,0.00
245,59456,0.00
246,71266,0.00
247,62829,0.00
248,70716,80.00
249,41033,100.00
250,64997,100.00
251,53858,75.00
252,58364,0.00
253,56985,0.00
254,57518,0.00
255,56462,0.00
256,56860,0.00
257,55768,0.00
258,56621,0.00
259,57478,0.00
260,57626,0.00
261,61552,0.00
262,71774,40.00
263,66118,100.00
264,37481,100.00
265,55240,100.00
266,58619,0.00
267,66034,0.00
268,66935,0.00
269,55695,0.00
270,62930,0.00
271,54780,0.00
272,57343,0.00
273,56008,0.00
274,60458,0.00
275,70181,40.00
276,48978,100.00
277,52252,100.00
278,59011,0.00
279,59347,0.00
280,58658,0.00
281,63730,0.00
282,70187,0.00
283,60604,0.00
284,68501,25.00
285,74037,100.00
286,70006,100.00
287,54660,100.00
288,67702,0.00
289,58142,0.00
290,60346,0.00
291,61282,0.00
292,62961,0.00
293,59209,0.00
294,59776,0.00
295,69160,0.00
296,60629,0.00
297,72450,20.00
298,67449,100.00
299,61318,100.00
300,67650,100.00
301,59461,25.00
302,64366,0.00
303,57923,0.00
304,62963,0.00
305,79148,0.00
306,57838,0.00
307,58893,0.00
308,58284,0.00
309,58054,0.00
310,73038,0.00
311,73919,100.00
312,43666,100.00
313,68523,100.00
314,57653,50.00
315,58766,0.00
316,57481,0.00
317,60895,0.00
318,57532,0.00
319,56877,0.00
320,61001,0.00
321,63679,0.00
322,59681,0.00
323,61682,0.00
324,67998,0.00
325,69216,100.00
326,65508,100.00
327,52368,66.67
328,58074,0.00
329,53297,0.00
330,61927,0.00
331,57979,0.00
332,59687,0.00
333,61073,0.00
334,65877,0.00
335,72811,40.00
336,68415,100.00
337,55436,100.00
338,56180,66.67
339,59016,0.00
340,63082,0.00
341,58958,0.00
342,61494,0.00
343,62189,0.00
344,59935,0.00
345,60208,0.00
346,57405,0.00
347,71658,60.00
348,62533,100.00
349,63698,100.00
350,67422,50.00
351,59915,0.00
352,57465,0.00
353,60547,0.00
354,59934,0.00
355,59004,0.00
356,59471,0.00
357,58650,0.00
358,73889,0.00
359,59094,0.00
