sample,work_ns,cpu_utilization
1,60136,6.53
2,64539,6.97
3,74154,4.00
4,75791,3.03
5,60744,6.53
6,63537,2.02
7,60110,4.98
8,75064,4.02
9,59821,6.47
10,59588,4.50
11,62769,5.00
12,63622,6.50
13,58953,4.48
14,62070,4.52
15,60414,5.00
16,71840,4.48
17,60354,6.00
18,60850,5.03
19,62840,4.52
20,63845,4.50
21,71036,5.97
22,60271,4.52
23,74202,5.03
24,61238,3.50
25,69187,6.50
26,65729,4.52
27,64706,5.00
28,61976,4.98
29,70426,5.03
30,67223,5.00
31,62765,5.00
32,64778,3.52
33,61719,6.50
34,62631,4.98
35,65299,5.03
36,60857,4.50
37,59838,5.47
38,64937,5.00
39,60848,5.00
40,59238,4.02
41,65773,6.00
42,60954,5.00
43,58609,5.00
44,64565,4.50
45,65079,5.50
46,68153,5.00
47,59550,5.00
48,61881,4.50
49,64592,5.53
50,62516,4.52
51,61594,5.00
52,65605,5.00
53,76196,5.50
54,77413,5.00
55,288068,6.59
56,65738,0.00
57,66744,2.01
58,74995,4.02
59,82927,5.53
60,74923,2.99
