sample,work_ns,cpu_utilization
1,135663,0.00
2,53746,0.00
3,77737,0.00
4,51233,0.00
5,49517,0.00
6,57116,0.00
7,60822,33.33
8,42176,0.00
9,37306,100.00
10,29383,0.00
11,33381,100.00
12,55856,0.00
13,37057,100.00
14,30722,0.00
15,26643,100.00
16,32729,0.00
17,171240,0.00
18,50133,0.00
19,57853,0.00
20,68698,0.00
21,223436,0.00
22,49973,100.00
23,43300,0.00
24,43142,100.00
25,30209,0.00
26,27727,100.00
27,25774,0.00
28,25993,100.00
29,37717,0.00
30,39142,100.00
31,36381,0.00
32,56090,0.00
33,118054,0.00
34,55466,0.00
35,55965,0.00
36,56951,0.00
37,155722,0.00
38,54526,0.00
39,61104,0.00
40,59085,0.00
41,35121,100.00
42,29504,100.00
43,28052,0.00
44,27669,0.00
45,32893,50.00
46,51421,100.00
47,29613,0.00
48,28445,0.00
49,31647,50.00
50,66884,0.00
51,59708,0.00
52,60423,100.00
53,35209,0.00
54,44224,100.00
55,47956,0.00
56,51513,100.00
57,35007,0.00
58,45852,0.00
59,44772,0.00
60,49117,0.00
61,139268,0.00
62,52560,0.00
63,54891,0.00
64,53376,0.00
65,156704,0.00
66,66020,0.00
67,53681,0.00
68,67358,0.00
69,190638,0.00
70,48179,0.00
71,48441,0.00
72,64855,100.00
73,28236,0.00
74,31092,100.00
75,53230,100.00
76,60630,100.00
77,41292,100.00
78,42262,100.00
79,33397,100.00
80,22541,100.00
81,20996,100.00
82,25710,100.00
83,25250,100.00
84,51486,100.00
85,131690,0.00
86,55054,0.00
87,56260,0.00
88,55305,0.00
89,134072,0.00
90,62285,0.00
91,58991,0.00
92,57898,0.00
93,178374,0.00
94,70580,0.00
95,56646,0.00
96,56486,0.00
97,141398,0.00
98,52655,0.00
99,51390,0.00
100,51940,0.00
101,185483,0.00
102,50528,0.00
103,51792,0.00
104,58534,0.00
105,218545,0.00
106,54340,0.00
107,52443,0.00
108,53824,0.00
109,187901,0.00
110,55934,0.00
111,52184,0.00
112,50861,0.00
113,149892,0.00
114,67624,100.00
115,19898,0.00
116,22067,100.00
117,26730,100.00
118,28867,100.00
119,47695,0.00
120,42858,100.00
121,33609,100.00
122,50961,100.00
123,41813,50.00
124,32372,0.00
125,31148,0.00
126,52248,100.00
127,51029,0.00
128,66557,0.00
129,166003,0.00
130,60552,0.00
131,58538,0.00
132,63040,0.00
133,287962,0.00
134,56910,0.00
135,57358,0.00
136,61045,0.00
137,207106,0.00
138,53639,0.00
139,68453,0.00
140,64984,0.00
141,184969,0.00
142,56427,0.00
143,59516,0.00
144,30794,100.00
145,24969,0.00
146,36521,100.00
147,57468,0.00
148,40871,100.00
149,38702,0.00
150,30558,100.00
151,32430,0.00
152,43054,100.00
153,131934,0.00
154,54483,0.00
155,53225,100.00
156,47161,0.00
157,36280,100.00
158,29514,0.00
159,25422,100.00
160,29126,0.00
161,44218,100.00
162,45963,0.00
163,34234,0.00
164,45200,0.00
165,136630,0.00
166,47824,0.00
167,56798,0.00
168,55271,0.00
169,206003,0.00
170,57189,0.00
171,57628,0.00
172,55013,0.00
173,151507,0.00
174,63861,50.00
175,62550,0.00
176,39899,0.00
177,27061,100.00
178,31999,50.00
179,30429,0.00
180,41857,0.00
181,47925,100.00
182,43389,50.00
183,25710,0.00
184,47578,0.00
185,176126,0.00
186,64538,0.00
187,63526,0.00
188,47223,100.00
189,39183,0.00
190,57811,100.00
191,36450,0.00
192,28314,100.00
193,28021,0.00
194,26665,100.00
195,50276,0.00
196,56454,0.00
197,58862,0.00
198,57511,0.00
199,52777,0.00
200,50456,0.00
201,62830,0.00
202,55429,0.00
203,55700,0.00
204,56715,0.00
205,156994,0.00
206,65316,0.00
207,53624,100.00
208,52244,0.00
209,131407,100.00
210,44006,0.00
211,28913,100.00
212,25275,0.00
213,29914,100.00
214,48031,100.00
215,23983,0.00
216,40746,100.00
217,33683,100.00
218,49174,100.00
219,25402,0.00
220,30546,100.00
221,34054,0.00
222,42792,100.00
223,43099,0.00
224,41839,0.00
225,166943,0.00
226,53294,0.00
227,56872,0.00
228,51538,0.00
229,147572,0.00
230,62847,0.00
231,61949,0.00
232,60608,0.00
233,206239,0.00
234,55652,0.00
235,54855,0.00
236,53159,0.00
237,155091,0.00
238,52723,0.00
239,49613,0.00
240,54703,0.00
241,149904,0.00
242,55597,0.00
243,63080,0.00
244,55911,0.00
245,214424,0.00
246,61633,100.00
247,22131,0.00
248,28468,100.00
249,23463,0.00
250,56985,100.00
251,45550,100.00
252,45724,100.00
253,35971,0.00
254,27528,100.00
255,21665,100.00
256,21149,0.00
257,31641,50.00
258,52110,0.00
259,49271,0.00
260,49093,0.00
261,165457,0.00
262,47238,0.00
263,47128,0.00
264,57050,0.00
265,149582,0.00
266,55536,0.00
267,51257,0.00
268,51223,0.00
269,144418,0.00
270,50748,0.00
271,53220,0.00
272,53283,0.00
273,190199,0.00
274,68501,0.00
275,50695,0.00
276,55512,0.00
277,170081,0.00
278,59679,0.00
279,45867,0.00
280,64754,0.00
281,123967,0.00
282,63829,100.00
283,30788,0.00
284,28544,100.00
285,35652,0.00
286,65848,100.00
287,22049,0.00
288,53044,100.00
289,44736,100.00
290,40476,100.00
291,32121,100.00
292,32330,0.00
293,118406,0.00
294,44215,50.00
295,58542,100.00
296,37443,0.00
297,139903,0.00
298,50940,0.00
299,56879,0.00
300,54273,0.00
301,181153,0.00
302,54072,0.00
303,52839,0.00
304,55197,0.00
305,136069,0.00
306,49469,0.00
