name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"OpenConext\EngineBlockBundle\Sbs\SbsClient",69,24,316.36,5.2,1645.08,0.19,0.11,91,60.84,17,52,4,20,3,2,0.29,47.88,47.88,0,N/A,N/A,2,25,1.14,26.14,150,6.83,156.83,0,37,37,N/A,6,6,2,4,0,0,0,7,1,N/A,0
"OpenConext\EngineBlockBundle\Sbs\SbsClientInterface",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,0,3,0,0,1,4,0.8,N/A,0
"OpenConext\EngineBlockBundle\Security\Http\EntryPoint\JsonBasicAuthenticationEntryPoint",25,15,97.67,1.54,150.27,0.65,0.03,8,63.49,5,20,2,13,2,2,0.15,95.71,59.53,36.18,N/A,N/A,1,1,1.25,2.25,2,2.5,4.5,6,22,16,N/A,2,1,0,1,0,1,0,4,1,N/A,0
"OpenConext\EngineBlockBundle\Service\DiscoverySelectionService",47,14,178.95,7,1252.62,0.14,0.06,70,25.56,12,35,4,10,4,3,0.52,48.51,48.51,0,N/A,N/A,3,49,0.94,49.94,294,5.63,299.63,0,41,41,N/A,6,6,1,5,0,0,1,3,0.75,N/A,0
"OpenConext\EngineBlockBundle\Service\IdpHistoryService",9,5,20.9,2,41.79,0.5,0.01,2,10.45,3,6,2,3,1,1,0.15,70.92,70.92,0,N/A,N/A,1,0,3,3,0,3,3,0,8,8,N/A,1,1,0,1,0,0,1,0,0,N/A,0
"OpenConext\EngineBlockBundle\Twig\Extensions\Extension\ConnectedIdps",44,15,171.9,5.64,968.91,0.18,0.06,54,30.5,13,31,4,11,5,3,0.45,81.08,47.61,33.47,N/A,N/A,1,4,3.14,7.14,28,22,50,13,58,45,N/A,7,5,1,4,2,0,1,0,0,N/A,0
"OpenConext\EngineBlockBundle\Twig\Extensions\Extension\Debug",8,4,16,1,16,1,0.01,1,16,2,6,1,3,1,1,0.15,113.63,67.89,45.73,N/A,N/A,2,0,3,3,0,6,6,15,27,12,N/A,2,2,0,2,0,0,0,0,0,N/A,0
"OpenConext\EngineBlockBundle\Twig\Extensions\Extension\Feedback",176,44,960.86,14,13452.04,0.07,0.32,747,68.63,50,126,8,36,19,6,1.24,71.71,32.29,39.42,N/A,N/A,1,576,0.55,576.55,7488,7.12,7495.12,56,163,107,N/A,13,13,1,12,0,0,0,6,1,N/A,0
"OpenConext\EngineBlockBundle\Twig\Extensions\Extension\GlobalSiteNotice",22,9,69.74,2.29,159.4,0.44,0.02,9,30.51,6,16,2,7,1,1,0.15,95.07,56.46,38.61,N/A,N/A,1,1,1.88,2.88,4,7.5,11.5,12,37,25,N/A,4,4,0,4,0,0,0,1,1,N/A,0
"OpenConext\EngineBlockBundle\Twig\Extensions\Extension\GlobalSiteNoticeInterface",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,0,3,0,0,0,0,0,N/A,0
"OpenConext\EngineBlockBundle\Twig\Extensions\Extension\I18n",67,22,298.78,2.75,821.65,0.36,0.1,46,108.65,12,55,2,20,1,1,0.15,78.62,50.63,27.99,N/A,N/A,1,4,1.92,5.92,16,7.67,23.67,5,34,29,N/A,4,3,1,2,0,1,0,1,1,N/A,0
"OpenConext\EngineBlockBundle\Twig\Extensions\Extension\Locale",77,26,361.93,8.1,2931.66,0.12,0.12,163,44.68,23,54,6,20,5,3,0.52,82.94,44.54,38.4,N/A,N/A,1,36,0.86,36.86,216,5.14,221.14,23,72,49,N/A,6,6,1,5,0,0,0,2,1,N/A,0
"OpenConext\EngineBlockBundle\Twig\Extensions\Extension\Metadata",113,37,588.67,11.45,6739.24,0.09,0.2,374,51.42,30,83,8,29,8,6,0.66,85.24,41.39,43.85,N/A,N/A,1,64,1,65,448,7,455,51,107,56,N/A,7,7,1,6,0,0,0,2,1,N/A,0
"OpenConext\EngineBlockBundle\Twig\Extensions\Extension\Spaceless",12,9,38.04,2,76.08,0.5,0.01,4,19.02,4,8,3,6,2,2,0.22,112.12,65.95,46.17,N/A,N/A,1,0,3,3,0,3,3,15,26,11,N/A,1,1,0,1,0,0,0,0,0,N/A,0
"OpenConext\EngineBlockBundle\Twig\Extensions\Extension\Wayf",193,66,1166.57,8.78,10242.07,0.11,0.39,569,132.87,45,148,7,59,16,10,0.8,72.05,34.74,37.31,N/A,N/A,1,196,0.92,196.92,1764,8.27,1772.27,34,115,81,N/A,9,9,5,4,0,0,0,5,1,N/A,0
"OpenConext\EngineBlockBundle\Url\UrlProvider",47,22,209.59,10.04,2103.99,0.1,0.07,117,20.88,18,29,9,13,9,9,0.29,92.16,52.43,39.73,N/A,N/A,1,4,1.17,5.17,8,2.33,10.33,13,37,24,N/A,2,1,0,1,0,1,7,2,0.22,N/A,0
"OpenConext\EngineBlockBundle\Value\ExecutionTime",24,11,83.03,4.29,355.83,0.23,0.03,20,19.37,9,15,4,7,1,1,0.15,94.71,53.89,40.82,N/A,N/A,3,1,2.67,3.67,6,16,22,19,50,31,N/A,6,5,1,4,1,0,4,3,0.43,N/A,0
"OpenConext\EngineBlockBundle\Value\FeedbackInformation",30,10,99.66,2.75,274.06,0.36,0.03,15,36.24,8,22,2,8,1,1,0.15,93.3,54.3,38.99,N/A,N/A,1,1,1.75,2.75,4,7,11,14,42,28,N/A,4,2,0,2,2,0,2,1,0.33,N/A,0
"OpenConext\EngineBlockBundle\Value\FeedbackInformationMap",24,7,67.38,6.75,454.79,0.15,0.02,25,9.98,6,18,3,4,2,2,0.22,80.71,55.03,25.68,N/A,N/A,1,1,1.8,2.8,5,9,14,4,33,29,N/A,5,4,0,4,1,0,1,2,0.67,N/A,0
