name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"OpenConext\EngineBlockBundle\Exception\InvalidPdpResponseException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,1,1,0.5,N/A,0
"OpenConext\EngineBlockBundle\Exception\InvalidSbsResponseException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,3,1,0.25,N/A,0
"OpenConext\EngineBlockBundle\Exception\LogicException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,1,1,0.5,N/A,0
"OpenConext\EngineBlockBundle\Exception\ResponseProcessingFailedException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,0,2,1,N/A,0
"OpenConext\EngineBlockBundle\Exception\RuntimeException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,11,1,0.08,N/A,0.01
"OpenConext\EngineBlockBundle\Exception\StuckInAuthenticationLoopException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,1,1,0.5,N/A,0
"OpenConext\EngineBlockBundle\Exception\UnableToCreateUrlException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,1,1,0.5,N/A,0
"OpenConext\EngineBlockBundle\Exception\UnknownKeyIdException",11,6,28.43,2,56.87,0.5,0.01,3,14.22,3,8,2,4,1,1,0.15,93.59,64.03,29.56,N/A,N/A,1,1,0.75,1.75,2,1.5,3.5,3,18,15,N/A,2,1,0,1,1,0,1,1,0.5,N/A,0
"OpenConext\EngineBlockBundle\Exception\UnsupportedLanguageException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,1,1,0.5,N/A,0
"OpenConext\EngineBlockBundle\Factory\CollabPersonIdFactory",7,5,16.25,1.67,27.09,0.6,0.01,2,9.75,2,5,2,3,2,2,0.15,99.65,67.71,31.94,N/A,N/A,1,1,1,2,1,1,2,3,15,12,N/A,1,1,0,1,0,0,2,2,0.5,N/A,0
"OpenConext\EngineBlockBundle\HealthCheck\DoctrineConnectionHealthCheck",21,11,72.65,4.29,311.35,0.23,0.02,17,16.95,6,15,4,7,3,3,0.22,97.95,55.7,42.25,N/A,N/A,1,16,0.6,16.6,48,1.8,49.8,19,45,26,N/A,3,2,0,2,0,1,0,5,1,N/A,0
"OpenConext\EngineBlockBundle\Http\Cookies\CookieFactory",50,16,200,6.17,1233.33,0.16,0.07,69,32.43,13,37,4,12,3,2,0.29,95.11,50.65,44.46,N/A,N/A,1,16,0.9,16.9,32,1.8,33.8,32,64,32,N/A,2,2,0,2,0,0,1,4,0.8,N/A,0
"OpenConext\EngineBlockBundle\Http\Exception\ApiAccessDeniedHttpException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,5,2,0.29,N/A,0
"OpenConext\EngineBlockBundle\Http\Exception\ApiHttpException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,5,1,0.17,N/A,0
"OpenConext\EngineBlockBundle\Http\Exception\ApiInternalServerErrorHttpException",8,5,18.58,0,0,1.25,0.01,0,23.22,0,8,0,5,1,1,0.15,71.28,71.28,0,N/A,N/A,1,1,1.5,2.5,1,1.5,2.5,0,8,8,N/A,1,1,0,1,0,0,2,2,0.5,N/A,0
"OpenConext\EngineBlockBundle\Http\Exception\ApiMethodNotAllowedHttpException",8,5,18.58,0.88,16.25,1.14,0.01,1,21.23,1,7,1,4,1,1,0.15,71.28,71.28,0,N/A,N/A,1,0,3,3,0,3,3,0,8,8,N/A,1,1,0,1,0,0,5,2,0.29,N/A,0
"OpenConext\EngineBlockBundle\Http\Exception\ApiNotFoundHttpException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,5,2,0.29,N/A,0
"OpenConext\EngineBlockBundle\Http\Exception\BadApiRequestHttpException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,4,2,0.33,N/A,0
"OpenConext\EngineBlockBundle\Http\Request\JsonRequestHelper",57,19,242.13,8.31,2011.56,0.12,0.08,112,29.15,21,36,6,13,5,3,0.43,82.31,48.95,33.35,N/A,N/A,2,1,1.5,2.5,2,3,5,10,45,35,N/A,2,2,0,2,0,0,2,2,0.5,N/A,0
"OpenConext\EngineBlockBundle\Http\Response\JsonHelper",87,28,418.24,1.54,642.85,0.65,0.14,36,272.11,4,83,1,27,1,1,0.15,89.86,56.51,33.35,N/A,N/A,1,16,1,17,16,1,17,4,18,14,N/A,1,1,0,1,0,0,1,1,0.5,N/A,0
"OpenConext\EngineBlockBundle\Http\Response\JsonResponse",15,9,47.55,0.88,41.61,1.14,0.02,2,54.34,1,14,1,8,2,2,0.22,64.45,64.45,0,N/A,N/A,1,9,0.75,9.75,9,0.75,9.75,0,12,12,N/A,1,1,0,1,0,0,2,2,0.5,N/A,0
"OpenConext\EngineBlockBundle\Localization\LanguageSupportProvider",23,10,76.4,3.64,278.33,0.27,0.03,15,20.97,6,17,3,7,4,4,0.52,93.41,56.17,37.24,N/A,N/A,1,0,2,2,0,4,4,10,34,24,N/A,2,1,0,1,1,0,7,1,0.13,N/A,0
"OpenConext\EngineBlockBundle\Localization\LocaleProvider",48,9,152.16,8.5,1293.33,0.12,0.05,72,17.9,14,34,3,6,5,5,0.43,91.77,50.36,41.4,N/A,N/A,1,9,1.5,10.5,27,4.5,31.5,23,58,35,N/A,3,2,0,2,0,1,2,2,0.5,N/A,0
"OpenConext\EngineBlockBundle\Monolog\Formatter\SyslogJsonFormatter",12,7,33.69,0.92,30.88,1.09,0.01,2,36.75,1,11,1,6,1,1,0.15,69.47,69.47,0,N/A,N/A,1,1,1,2,1,1,2,0,8,8,N/A,1,1,1,0,0,0,0,2,1,N/A,0
"OpenConext\EngineBlockBundle\OpenConextEngineBlockBundle",8,4,16,1.17,18.67,0.86,0.01,1,13.71,1,7,1,3,1,1,0.15,70.62,70.62,0,N/A,N/A,1,9,0,9,9,0,9,0,9,9,N/A,1,1,0,1,0,0,0,2,1,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Attribute",15,9,47.55,4,190.2,0.25,0.02,11,11.89,5,10,4,5,2,2,0.22,102.96,62.33,40.63,N/A,N/A,1,0,1,1,0,1,1,9,24,15,N/A,1,1,0,1,0,0,2,1,0.33,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Request\AccessSubject",3,3,4.75,0.5,2.38,2,0,0,9.51,1,2,1,2,1,1,0.15,109.28,74.31,34.97,N/A,N/A,1,0,1,1,0,1,1,3,12,9,N/A,1,1,0,1,0,0,1,1,0.5,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Request\Resource",3,3,4.75,0.5,2.38,2,0,0,9.51,1,2,1,2,1,1,0.15,109.28,74.31,34.97,N/A,N/A,1,0,1,1,0,1,1,3,12,9,N/A,1,1,0,1,0,0,1,1,0.5,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Request",94,29,456.65,2.48,1133.17,0.4,0.15,63,184.02,27,67,2,27,3,3,0.61,76.66,44.5,32.16,N/A,N/A,2,4,1.67,5.67,8,3.33,11.33,12,59,47,N/A,2,2,0,2,0,0,4,7,0.64,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Response\AssociatedAdvice",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,215.46,171,44.46,N/A,N/A,0,0,0,0,0,0,0,6,12,6,N/A,0,0,0,0,0,0,1,0,0,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Response\AttributeAssignment",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,217.6,171,46.6,N/A,N/A,0,0,0,0,0,0,0,12,20,8,N/A,0,0,0,0,0,0,2,0,0,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Response\Category",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,215.46,171,44.46,N/A,N/A,0,0,0,0,0,0,0,6,12,6,N/A,0,0,0,0,0,0,1,0,0,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Response\Obligation",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,215.46,171,44.46,N/A,N/A,0,0,0,0,0,0,0,6,12,6,N/A,0,0,0,0,0,0,1,0,0,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Response\PolicyIdentifier",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,215.46,171,44.46,N/A,N/A,0,0,0,0,0,0,0,6,12,6,N/A,0,0,0,0,0,0,1,0,0,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Response\PolicyIdReference",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,215.46,171,44.46,N/A,N/A,0,0,0,0,0,0,0,6,12,6,N/A,0,0,0,0,0,0,1,0,0,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Response\PolicySetIdReference",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,215.46,171,44.46,N/A,N/A,0,0,0,0,0,0,0,6,12,6,N/A,0,0,0,0,0,0,1,0,0,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Response\Status",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,216.88,171,45.88,N/A,N/A,0,0,0,0,0,0,0,9,16,7,N/A,0,0,0,0,0,0,1,0,0,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Response\StatusCode",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,200.56,171,29.56,N/A,N/A,0,0,0,0,0,0,0,1,6,5,N/A,0,0,0,0,0,0,1,0,0,N/A,0
"OpenConext\EngineBlockBundle\Pdp\Dto\Response",235,47,1305.33,5.93,7742.97,0.17,0.44,430,220.06,61,174,3,44,25,25,3.11,59.96,30.12,29.84,N/A,N/A,1,0,2,2,0,2,2,23,135,112,N/A,1,1,0,1,0,0,4,13,0.76,N/A,0
"OpenConext\EngineBlockBundle\Pdp\PdpClient",23,11,79.57,2,159.13,0.5,0.03,9,39.78,5,18,2,9,1,1,0.15,95.28,59.72,35.56,N/A,N/A,1,9,0.63,9.63,18,1.25,19.25,6,23,17,N/A,2,2,0,2,0,0,0,5,1,N/A,0
"OpenConext\EngineBlockBundle\Pdp\PdpClientInterface",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,1,0,0,1,2,0.67,N/A,0
"OpenConext\EngineBlockBundle\Pdp\PolicyDecision",144,36,744.47,12.86,9571.75,0.08,0.25,532,57.9,54,90,8,28,21,8,1.82,64.98,31.71,33.27,N/A,N/A,4,49,2.07,51.07,637,26.88,663.88,34,154,120,N/A,13,10,3,7,2,1,4,5,0.56,N/A,0
"OpenConext\EngineBlockBundle\Sbs\AttributesResponse",17,8,51,3.6,183.6,0.28,0.02,10,14.17,5,12,3,5,3,3,0.29,89.03,60.8,28.23,N/A,N/A,1,0,2,2,0,2,2,3,20,17,N/A,1,1,0,1,0,0,4,3,0.43,N/A,0
"OpenConext\EngineBlockBundle\Sbs\AuthzResponse",59,19,250.63,11.67,2923.99,0.09,0.08,162,21.48,19,40,7,12,11,7,0.43,47.51,47.51,0,N/A,N/A,2,1,1.25,2.25,2,2.5,4.5,0,37,37,N/A,2,2,1,1,0,0,4,4,0.5,N/A,0
"OpenConext\EngineBlockBundle\Sbs\Dto\AttributesRequest",6,4,12,0.83,10,1.2,0,1,14.4,1,5,1,3,1,1,0.15,68.77,68.77,0,N/A,N/A,2,1,0.75,1.75,2,1.5,3.5,0,12,12,N/A,2,2,0,2,0,0,2,2,0.5,N/A,0
"OpenConext\EngineBlockBundle\Sbs\Dto\AuthzRequest",26,17,106.27,0.78,83.03,1.28,0.04,5,136.03,1,25,1,16,1,1,0.15,59.41,59.41,0,N/A,N/A,2,1,1.75,2.75,2,3.5,5.5,0,16,16,N/A,2,2,0,2,0,0,2,2,0.5,N/A,0
"OpenConext\EngineBlockBundle\Sbs\SbsAttributeMerger",68,16,272,8.33,2266.67,0.12,0.09,126,32.64,18,50,4,12,8,5,0.89,73.63,46.24,27.39,N/A,N/A,1,16,0.67,16.67,48,2,50,7,50,43,N/A,3,2,1,1,0,1,0,1,1,N/A,0
